15	(DOS)
16	(DOS)
18	(DOS)
21	(DOS)
25	(DOS)
64	(DOS)
66	(DOS)
85	(DOS)
666	(DOS)
1000	(DOS)
1869	(DOS)
1939	(DOS)
1993	(DOS)
2019	(DOS)
2112	(DOS)
40080	(DOS)
!Bingo Granny!	(DOS)
¡El Gran Juego Del Gusano!	(DOS)
¡Schof!	(DOS)
¿Dónde está Carmen Sandiego_ ¡Búscala en el Cosmos!	(DOS)
¿Dónde está Carmen Sandiego_ ¡Búscala en el tiempo v1.2	(DOS)
¿Dónde está Carmen Sandiego_ ¡Búscala por todo el mundo!	(DOS)
¿Quien es Cualo?	(DOS)
...A Personal Nightmare	(DOS)
%$ьаны пилоты, бомбы, самолёты!	(DOS)
%$ьаны пилоты, бомбы, самолёты! v1.2	(DOS)
$100,000 Pyramid	(DOS)
$100,000 Pyramid, The	(DOS)
$100,000 Pyramid, The v1.2	(DOS)
$100,000 Pyramid, The v1.3	(DOS)
007 Bond in Danger	(DOS)
007 in Danger	(DOS)
007- Licence to Kill	(DOS)
007: Licence to Kill	(DOS)
1 Star v2.1	(DOS)
1 Ton	(DOS)
1-0 Soccer Manager	(DOS)
1-2-3-4- משחקי חשבון לגילאים 5-8	(DOS)
1-2-3-4: Mishak Heshbon L'gilaim 5-8	(DOS)
1-Click Logo v1.60	(DOS)
10 Great Games	(DOS)
1000 Miglia	(DOS)
1000 Miles	(DOS)
1001 Nights of Doom	(DOS)
10C v1.03	(DOS)
10Rogue	(DOS)
10th Frame	(DOS)
11th Hour, The	(DOS)
120 Degrees Below Zero	(DOS)
123-Talk	(DOS)
123-Talk for Sound Boards v1.5	(DOS)
123-Talk v2.2	(DOS)
123-Talk v2.7	(DOS)
123-Talk v3.0SW	(DOS)
1483 Anno Domini	(DOS)
1483 Anno Domini r930427	(DOS)
1483 Anno Domini r930706	(DOS)
15 Move Hole Puzzle	(DOS)
15 Puzzle	(DOS)
15 Puzzle, The	(DOS)
15 x 15	(DOS)
16 Puzzle	(DOS)
1830- Railroads & Robber Barons v031795	(DOS)
1830- Railroads & Robber Barons v042595	(DOS)
1830- Railroads & Robber Barons v071895	(DOS)
1830: Railroads & Robber Barons	(DOS)
1869 r920720	(DOS)
1869 r921002	(DOS)
18th Airborne	(DOS)
1942- The Pacific Air War	(DOS)
1942- The Pacific Air War Scenario	(DOS)
1942- The Pacific Air War v1.4	(DOS)
1942: The Pacific Air War	(DOS)
1944- Across the Rhine v1.0	(DOS)
1988 Buick Dimension, The r880217	(DOS)
1988 Buick Dimension, The r880310	(DOS)
1990 - Die 94'er Edition	(DOS)
1993tris	(DOS)
1993TRIS v6.0	(DOS)
1994Pool	(DOS)
1994Pool v6.01	(DOS)
1994Pool v6.2	(DOS)
1994Pool v6.3	(DOS)
1994Pool v6.3a	(DOS)
1995СARD	(DOS)
1995Card+	(DOS)
1996- The Seeds of Armageddon	(DOS)
1998 Amerika vA.01	(DOS)
1PINBALL	(DOS)
1st & Goal Fantasy Football v1.04	(DOS)
1st & Goal Fantasy Football v2.06	(DOS)
1st & Goal Fantasy Football v3.05	(DOS)
1st & Goal Fantasy Football v3.07	(DOS)
1st Chess Tutor	(DOS)
1st Math	(DOS)
1st Math v2.0	(DOS)
1st Person Pinball	(DOS)
2 Chuehchan Chungkuo Hsiang-ch`i	(DOS)
2 Fast 4 You	(DOS)
20 Mega Games	(DOS)
20000 Leagues Under the Sea	(DOS)
20000 Leguas de Viaje Submarino	(DOS)
2048 v1.1.405-BPC	(DOS)
2048 v1.1.405-FPC	(DOS)
2048 v1.1.405-TMT	(DOS)
2048 v1.2.0628-BPC	(DOS)
2048 v1.2.0628-FPC	(DOS)
2048 v1.2.0628-TMT	(DOS)
2048x2048	(DOS)
20th Century Faro	(DOS)
20th Century Frog	(DOS)
20th Century Frog r881026	(DOS)
20th Century Frog r881125	(DOS)
21 (очко)	(DOS)
21 Очко	(DOS)
21 For 1 To 4	(DOS)
21-en	(DOS)
221 B Baker St.	(DOS)
221 B Baker St. v1.0	(DOS)
23 Matches Game	(DOS)
240 Racing	(DOS)
240 Racing v1.01	(DOS)
2400 A.D	(DOS)
2400 A.D.	(DOS)
25 Stones	(DOS)
256snake	(DOS)
2601 Diguo Lianhe Jiandui	(DOS)
2D Game	(DOS)
2FAST4YOU- Das Superheiße Bi-Fi Race	(DOS)
2FAST4YOU- Das Superheiße Bi-Fi Race CD v0.90	(DOS)
2FAST4YOU- Das Superheiße Bi-Fi Race v0.90	(DOS)
2FAST4YOU- Das Superheiße Bi-Fi Race v1.0	(DOS)
2nd Battlemaster War	(DOS)
2x2	(DOS)
3 Ball Juggler v1.12	(DOS)
3 Ball Juggler v1.13	(DOS)
3 Ball Juggler v1.21	(DOS)
3 Ball Juggler v1.21a	(DOS)
3 Card High Low Poker	(DOS)
3 Card Monte v1.01	(DOS)
3 in Line	(DOS)
3 in Line v2.00	(DOS)
3 of a Kind	(DOS)
3 Point Basketball	(DOS)
3 Skulls of the Toltecs	(DOS)
3 Skulls of Toltecs	(DOS)
3 Weighs	(DOS)
3 x Logic Games v1.10	(DOS)
3-Ball Juggler	(DOS)
3-D Body Adventure	(DOS)
3-D Cribbage	(DOS)
3-D Cribbage v1.51	(DOS)
3-D Cribbage v2.01	(DOS)
3-D Cribbage v2.02	(DOS)
3-D Dinosaur Adventure	(DOS)
3-D Dinosaur Adventure - Kid's Zoo- A Baby Animal Adventure	(DOS)
3-D Helicopter Simulator	(DOS)
3-D Helicopter Simulator v1.00	(DOS)
3-D Helicopter Simulator v1.10	(DOS)
3-D Lotto v5.0	(DOS)
3-D Pitfall	(DOS)
3-D Pitfall v1.3	(DOS)
3-D Pitfall v1.4	(DOS)
3-D Racing	(DOS)
3-D Shooter v1.0	(DOS)
3-D Table Sports	(DOS)
3-D TableSports	(DOS)
3-Demon	(DOS)
3-Demon v488170	(DOS)
3-Doxo	(DOS)
3-K Trivia	(DOS)
360 Points	(DOS)
386 Spys	(DOS)
3D Ball Blaster	(DOS)
3D Baller	(DOS)
3D Blox v2.0	(DOS)
3D Body Adventure	(DOS)
3D Bomber	(DOS)
3D Bouncy	(DOS)
3D Catch	(DOS)
3D Construction Kit	(DOS)
3D Construction Kit II v2.01	(DOS)
3D Construction Kit v1.20	(DOS)
3D Cyber Blaster	(DOS)
3D Cyber Puck	(DOS)
3D CyberPuck	(DOS)
3D CyberPuck v1.1	(DOS)
3D CyberPuck v3.0	(DOS)
3D Dinosaur Adventure	(DOS)
3D Dungeon RPG Maker	(DOS)
3D Game Alchemy for Doom, Doom II, Heretic and Hexen	(DOS)
3D Hamster's Adventure	(DOS)
3D Hero	(DOS)
3D Hunting- Grizzly	(DOS)
3D Hunting- Shark	(DOS)
3D Hunting- Trophy Game	(DOS)
3D Hunting- Trophy Whitetail	(DOS)
3D Isometric Sokoban	(DOS)
3D Isometric Sokoban r020504	(DOS)
3D Isometric Sokoban r020531	(DOS)
3D Jack's Game - Assassins Edition v4.5	(DOS)
3D Jack's Game - Assassins Edition v7.1	(DOS)
3D Jack's Game - Assassins Edition v8	(DOS)
3D Jack's Game - Assassins Edition v8.3	(DOS)
3D Jack's Game - Millenium Edition v6	(DOS)
3D Jack's Game ED2 edition v1.2	(DOS)
3D Jack's Game vFB.7	(DOS)
3D Kit Game, The	(DOS)
3D Lemmings	(DOS)
3D Lemmings CD Demo v1.05	(DOS)
3D Lemmings v1.13	(DOS)
3D Lemmings Winterland v1.05	(DOS)
3D Maze Game	(DOS)
3D Maze Generator	(DOS)
3D Migong	(DOS)
3D Minensucher	(DOS)
3D Missile v1.0.2	(DOS)
3D Naughts and Crosses	(DOS)
3D Noughts and Crosses	(DOS)
3D Pinball	(DOS)
3D Pitball	(DOS)
3D Pitfall	(DOS)
3D Pong	(DOS)
3D Pulsoid	(DOS)
3D Racer	(DOS)
3D Scroll	(DOS)
3d Space Fighter	(DOS)
3D Space Mob	(DOS)
3D Tetris v1.0b	(DOS)
3D Tetris v1.2	(DOS)
3D Tic Tac Toe	(DOS)
3D Tic-Tac-Toe	(DOS)
3D Trek	(DOS)
3D World	(DOS)
3D World - Voyageur IV and 3D Ping Pong	(DOS)
3D World - Voyageur IV and 3D Ping Pong v1.2	(DOS)
3D World Boxing	(DOS)
3D World Tennis	(DOS)
3D Xmas Adventure- Santa's Rescue	(DOS)
3D-Ball	(DOS)
3D-Mania v1.02	(DOS)
3D-Miner	(DOS)
3D-PacMan	(DOS)
3D-PacMan v0.1 Beta	(DOS)
3D-TicTacToe	(DOS)
3DCube	(DOS)
3Detris	(DOS)
3Detris v0.777	(DOS)
3Detris v0.90	(DOS)
3DHouse	(DOS)
3DLand 1	(DOS)
3DWalls	(DOS)
3Fold v1.31	(DOS)
3w1- Autka, Dark Moon, Mr. Tomato	(DOS)
3x Logic Games	(DOS)
3X3EYES ～삼지 안변성～	(DOS)
3X3EYES ～三只眼变成～	(DOS)
3X8	(DOS)
4 em Linha	(DOS)
4 Gewinnt	(DOS)
4 in a Line	(DOS)
4 in-a-row	(DOS)
4 Player Pong	(DOS)
4 Queens Computer Casino v1.01	(DOS)
4 Saisons de l'ecrit CE-CM, Les	(DOS)
4 Saisons de l'écrit CE/CM, Les	(DOS)
4 Saisons de l'écrit, Les	(DOS)
4 Soccer Simulators	(DOS)
