1942	(C64)
1942	(NES)
1942	(MSX)
1942	(ZX)
1943: The Battle of Midway	(C64)
1943: The Battle of Midway	(NES)
1943: The Battle of Midway	(ZX)
1943: The Battle of Midway	(AMIGA)
Adventures in the Magic Kingdom	(NES)
Bionic Commando	(C64)
Bionic Commando	(ZX)
Bionic Commando	(AMIGA)
Bionic Commando	(DOS)
Bionic Commando	(NES)
Bionic Commando	(GB)
Bionic Commando	(STEAM)
Bionic Commando Rearmed	(STEAM)
Bonkers	(SNES)
Breath of Fire	(GBA)
Breath of Fire	(SNES)
Breath of Fire II	(GBA)
Breath of Fire II	(SNES)
Breath of Fire III	(PS1)
Breath of Fire III	(PSP)
Breath of Fire IV	(PS1)
Breath of Fire: Dragon Quarter	(PS2)
Capcom vs. SNK 2 EO	(GC)
Capcom vs. SNK 2: Millionaire Fighting 2001	(DC)
Capcom vs. SNK Pro	(PS1)
Captain Commando	(SNES)
Captain Commando	(PS1)
Captain Commando	(PSP)
Chaos Legion	(PS2)
Chip 'n Dale Rescue Rangers	(NES)
Chip 'n Dale Rescue Rangers 2	(NES)
Clock Tower 3	(PS2)
Commando	(NES)
Commando	(ZX)
Commando	(C64)
Commando	(AMIGA)
Cyberbots: Full Metal Madness	(SS)
Cyberbots: Full Metal Madness	(PS1)
Darkstalkers 3	(SS)
Darkstalkers 3	(PS1)
Darkstalkers 3	(PS2)
Darkstalkers Chronicle: The Chaos Tower	(PSP)
Darkstalkers: The Night Warriors	(PS1)
Darkstalkers: The Night Warriors	(PS2)
Darkwing Duck	(NES)
Darkwing Duck	(GB)
Dead Rising	(STEAM)
Dead Rising 2	(STEAM)
Dead Rising 2: Off the Record	(STEAM)
Dead Rising: Chop Till You Drop	(WII)
Demon's Crest	(SNES)
Destiny of an Emperor	(NES)
Destiny of an Emperor 2	(NES)
Devil May Cry	(PS2)
Devil May Cry 2	(PS2)
Devil May Cry 3	(PS2)
Devil May Cry 4	(STEAM)
Devil May Cry 5	(STEAM)
Devil May Cry: HD Collection	(STEAM)
Dino Crisis	(DC)
Dino Crisis	(PS1)
Dino Crisis 2	(PS1)
Disney's Aladdin	(SNES)
Disney's Aladdin	(GBA)
Disney's Hide and Sneak	(GC)
Disney's Magical Quest 2 Starring Mickey and Minnie	(SNES)
Disney's Magical Quest 2 Starring Mickey and Minnie	(GBA)
Disney's Magical Quest 2 Starring Mickey and Minnie	(SMD)
Disney's Magical Quest 3 Starring Mickey & Donald	(SNES)
Disney's Magical Quest 3 Starring Mickey & Donald	(GBA)
Disney's Magical Quest Starring Mickey Mouse	(SNES)
Disney's Magical Quest Starring Mickey Mouse	(GBA)
DmC: Devil May Cry	(STEAM)
DuckTales	(NES)
DuckTales	(GB)
DuckTales 2	(NES)
DuckTales 2	(GB)
DuckTales: Remastered	(STEAM)
Famicom Mini: Ghosts 'n Goblins	(GBA)
Final Fight	(AMIGA)
Final Fight	(C64)
Final Fight	(ZX)
Final Fight	(SMD SEGA CD)
Final Fight	(SNES)
Final Fight	(GBA)
Final Fight 2	(SNES)
Final Fight 3	(SNES)
Final Fight Guy	(SNES)
Final Fight One	(GBA)
Final Fight Revenge	(SS)
Final Fight: Streetwise	(PS2)
Forgotten Worlds	(AMIGA)
Forgotten Worlds	(DOS)
Forgotten Worlds	(SMS)
Forgotten Worlds	(SMD)
Forgotten Worlds	(TG16)
Forgotten Worlds	(ZX)
Gargoyle's Quest	(GB)
Gargoyle's Quest II	(GB)
