Dragon's lair (3DO)	
Space Ace (3DO)	
Tamagoneko (Steam)	
The Textorcist: The Story of Ray Bibbia (Steam)	
Electronic Super Joy (Steam)	
Getting Over It with Bennett Foddy (Steam)	
ALTF4 (Steam)	
Aeterna Noctis (Steam)	
Catherine Classic (Steam)	
Giana Sisters: Twisted Dreams (Steam)	
Timothy and the Tower of Mu (Steam)	
Jump king (Steam)	
Wings of Vi (Steam)	
Egging On (Steam)	
Golfing Over It with Alva Majo (Steam)	
BETON BRUTAL (Steam)	
Baby Steps (Steam)	
1001 Spikes (Steam)	
Space Channel 5	(DC)
Space Channel 5 Part 2	(DC)
Evil Dead: Hail to the King (DC)	
Blue Stinger (DC)	
Sonic Shuffle (DC)	
Ecco the Dolphin: Defender of the Future (DC)	
Kato-chan Ken-chan (TG16)	
Daimakaimura (TG16)	
Driver (PS1)	
Mega Man X6 (PS1)	
Skullmonkeys(PS1)	
Rayman (PS1)	
Tomb Raider III: Adventures of Lara Croft (PS1)	
Nightmare Creatures (PS1)	
Crash Bandicoot (PS1)	
Oddworld: Abe’s Oddysee (PS1)	
Rayman Junior: Level 3 (PS1)	
Space Channel 5	(PS2)
Space Channel 5 Part 2	(PS2)
Maximo: Ghosts to Glory (PS2)	
Shinobi (PS2)	
God Hand (PS2)	
Contra: Shattered Soldier (PS2)	
Jak II (PS2)	
Super Ghouls 'N Ghosts (SNES)	
Megaman X3 (SNES)	
Zombies Ate My Neighbors (SNES)	
The Flintstones (SNES)	
Earthworm Jim (SNES)	
The Lost Vikings (SNES)	
The Lost Vikings 2 (SNES)	
Jurassic Park (SNES)	
Jurassic Park Part 2: The Chaos Continues (SNES)	
Aero the Acro-Bat (SNES)	
Batman Forever (SNES)	
Battletoads in Battlemaniacs (SNES)	
Spider-Man & Venom: Maximum Carnage (SNES)	
Spider-Man and the X-Men in Arcade's Revenge (SNES)	
Judge Dredd (SNES)	
Robocop vs. The Terminator (SNES)	
Shien's Revenge (SNES)	
George Foreman's KO Boxing (SNES)	
Super Star Wars: The Empire Strikes Back (SNES)	
Super Star Wars: Return of the Jedi (SNES)	
ActRaiser 2 (SNES)	
Prince of Persia (SNES)	
The Combatribes (SNES)	
Dragon's Lair (SNES)	
Last Action Hero (SNES)	
True Lies (SNES)	
Cliffhanger (Sega CD)	
Ecco the Dolphin (Sega CD)	
Ecco: The Tides of Time (Sega CD)	
Adventures of Batman & Robin (SMD)	
Ecco the Dolphin (SMD)	
Ecco: The Tides of Time (SMD)	
Kid Chameleon (SMD)	
Taz-Mania (SMD)	
Earthworm Jim (SMD)	
Golden Axe III (SMD)	
Lost Viking (SMD)	
Astérix and the Power of The Gods (SMD)	
Jurassic Park (SMD)	
Jurassic Park: Rampage Edition (SMD)	
Aero the Acro-Bat (SMD)	
Batman Forever (SMD)	
Battletoads (SMD)	
Chakan (SMD)	
Contra: Hard Corps (SMD)	
Duke Nukem 3D (SMD)	
Fantastic Dizzy (SMD)	
Gaiares (SMD)	
High Seas Havoc (SMD)	
Indiana Jones and the Last Crusade (SMD)	
The Immortal (SMD)	
True Lies (SMD)	
Ferias Frustradas do Pica-Pau (SMD)	
The Ooze (SMD)	
Shadow of the Beast (SMD)	
Shadow of the Beast II (SMD)	
Simpsons: The - Bart vs. the Space Mutants (SMD)	
Sonic the Hedgehog Spinball (SMD)	
Spider-Man & Venom: Maximum Carnage (SMD)	
Spider-Man and the X-Men in Arcade's Revenge (SMD)	
StormLord (SMD)	
Superman (SMD)	
Target Earth (SMD)	
X-Men 2: Clone Wars (SMD)	
Zombies Ate My Neighbors (SMD)	
Spirou (SMD)	
Battletoads & Double Dragon (SMD)	
Castlevania: Bloodlines (SMD)	
Comix Zone (SMD)	
Donald in Maui Mallard (SMD)	
Ghouls'n Ghosts (SMD)	
Judge Dredd (SMD)	
Mr. Nutz (SMD)	
Warlock (SMD)	
Hokuto no Ken - Shin Seikimatsu Kyuuseishu Densetsu (SMD)	
Wings of Wor (SMD)	
Revenge of Shinobi (SMD)	
Fatal Labyrinth (SMD)	
Terminator 2: Judgement day (SMD)	
Eliminate Down (SMD)	
Undead Line (SMD)	
Robocop vs. The Terminator (SMD)	
Tintin in Tibet (SMD)	
Fatal Rewind (SMD)	
George Foreman's KO Boxing (SMD)	
Sword of Sodan (SMD)	
Mazin Saga: Mutant Fighter (SMD)	
The Death and Return of Superman (SMD)	
Battletech (SMD)	
Last Action Hero (SMD)	
Double Dragon III: The Sacred Stones (NES)	
Fester’s Quest (NES)	
Ikari Warriors (NES)	
Battletoads (NES)	
Battletoads & Double Dragon: The Ultimate Team (NES)	
Teenage Mutant Ninja Turtles III: The Manhattan Project (NES)	
Mike Tyson’s Punch Out (NES)	
Simpsons: The - Bart vs. the Space Mutants (NES)	
Silver Surfer (NES)	
Castlevania III: Dracula's Curse (NES)	
Adventure Island (NES)	
Adventure Island 2 (NES)	
Adventure Island 3 (NES)	
Alien 3 (NES)	
Amagon (NES)	
Super Robin Hood (NES)	
Batman: The Video Game (NES)	
Bram Stoker's Dracula (NES)	
Captain America and the Avengers (NES)	
Code Name: Viper (NES)	
Darkman (NES)	
The Fantastic Adventures of Dizzy (NES)	
Flying Hero (NES)	
Ghostbusters II (NES)	
Gremlins 2: The New Batch (NES)	
Holy Diver (NES)	
Iron Tank: The Invasion of Normandy (NES)	
James Bond Jr (NES)	
The Jungle Book (NES)	
