7 Blades	(PS2)
Adventures of Batman & Robin	(SNES)
Adventures of Bayou Billy	(NES)
Akumajō Special: Boku Dracula-kun	(NES)
Animaniacs	(GB)
Animaniacs	(SMD)
Animaniacs	(SNES)
Antarctic Adventure	(MSX)
Athletic Land	(MSX)
Axelay	(SNES)
Azure Dreams	(GBC)
Azure Dreams	(PS1)
Batman Returns	(NES)
Batman Returns	(SNES)
Batman: The Animated Series	(GB)
Biker Mice from Mars	(SNES)
Bio Miracle Bokutte Upa	(NES)
Blades of Steel	(DOS)
Blades of Steel	(GB)
Blades of Steel	(NES)
Bucky O'Hare	(NES)
C: The Contra Adventure	(PS1)
Castlevania	(NES)
Castlevania	(DOS)
Castlevania	(C64)
Castlevania	(AMIGA)
Castlevania 64	(N64)
Castlevania Chronicles	(PS1)
Castlevania II: Belmont's Revenge	(GB)
Castlevania II: Belmont's Revenge (Konami GB Collection vol. 3)	(GBC)
Castlevania II: Simon's Quest	(NES)
Castlevania III: Dracula's Curse	(NES)
Castlevania Legends	(GB)
Castlevania: Aria of Sorrow	(GBA)
Castlevania: Bloodlines	(SMD)
Castlevania: Circle of the Moon	(GBA)
Castlevania: Curse of Darkness	(PS2)
Castlevania: Dawn of Sorrow	(DS)
Castlevania: Dracula X	(SNES)
Castlevania: Harmony of Dissonance	(GBA)
Castlevania: Judgement	(WII)
Castlevania: Lament of Innocence	(PS2)
Castlevania: Legacy of Darkness	(N64)
Castlevania: Order of Ecclesia	(DS)
Castlevania: Portrait of Ruin	(DS)
Castlevania: Rondo of Blood	(TG16)
Castlevania: Symphony of the Night	(PS1)
Castlevania: Symphony of the Night	(SS)
Castlevania: The Adventure	(GB)
Castlevania: The Adventure (Konami GB Collection vol. 1)	(GBC)
Castlevania: The Adventure ReBirth	(WII)
Castlevania: The Dracula X Chronicles	(PSP)
Cavenoire	(GB)
Circus Charlie	(C64)
Circus Charlie	(MSX)
Circus Charlie	(NES)
Classic NES series: Castlevania	(GBA)
Coded Arms	(PSP)
Coded Arms: Contagion	(PSP)
Comic Bakery	(C64)
Comic Bakery	(MSX)
Contra	(DOS)
Contra	(MSX)
Contra	(NES)
Contra 4	(NDS)
Contra Advance: The Alien Wars EX	(GBA)
Contra Force	(NES)
Contra III: The Alien Wars	(SNES)
Contra ReBirth	(WII)
Contra: Hard Corps	(SMD)
Contra: Legacy of War	(PS1)
Contra: Legacy of War	(SS)
Contra: Shattered Soldier	(PS2)
Contra: The Alien Wars	(GB)
Cosmic Wars	(NES)
Crackout	(NES)
Crazy Train	(MSX)
Crisis Force	(NES)
Detana TwinBee Yahho! Deluxe Pack	(PS1)
Detana TwinBee Yahoo! Deluxe Pack	(SS)
Detana!! TwinBee	(TG16)
Double Dribble	(C64)
Double Dribble	(DOS)
Double Dribble	(NES)
Double Dribble: 5 on 5	(GB)
Double Dribble: The Playoff Edition	(SMD)
Dragon Scroll	(NES)
Ephemeral Fantasia	(PS2)
Esper Dream	(NES)
Esper Dream 2	(NES)
Falsion	(NES)
Fisherman's Bait: A Bass Challenge	(PS1)
G.A.S.P!! Fighters' NEXTream	(N64)
Ganbare Goemon	(MSX)
Ganbare Goemon 2	(NES)
Ganbare Goemon 2: Kiteretsu Shougun McGuiness	(SNES)
Ganbare Goemon 3: Shishi Juurokubee no Karakuri Manjigatame	(SNES)
Ganbare Goemon Gaiden 2	(NES)
Ganbare Goemon Gaiden: Kieta Ougon Kiseru	(NES)
Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake	(SNES)
Ganbare Goemon: Kuru Nara Koi! Ayashige Ikka no Kuroi Kage	(PS1)
Ganbare Goemon: Mononoke Dōchū Tobidase Nabe-Bugyō!	(GBC)
Ganbare Goemon: Ōedo Daikaiten	(PS1)
Ganbare Goemon: Sarawareta Ebisumaru!	(GB)
Ganbare Goemon: Seikūshi Dynamites Arawaru!!	(GBC)
Ganbare Goemon: Tengu-tou no Gyakushuu!	(GBC)
