10-Pin Bowling	(GB)
14 Juillet	(GB)
1bit Game Collection	(GB)
2021 - Moon Escape	(GB)
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!!	(GB)
3-pun Yosou - Umaban Club	(GB)
4-in-1 Fun Pak	(GB)
4-in-1 Funpak - Volume II	(GB)
8-in-1	(GB)
A Fairy Without Wings	(GB)
A-mazing Tater	(GB)
Aa Harimanada	(GB)
Action Replay Pro	(GB)
Addams Family, The	(GB)
Addams Family, The - Pugsley's Scavenger Hunt	(GB)
Adulting!	(GB)
Adventure Island	(GB)
Adventure Island II - Aliens in Paradise	(GB)
Adventures of Lolo	(GB)
Adventures of Pinocchio, The	(GB)
Adventures of Rocky and Bullwinkle and Friends, The	(GB)
Adventures of Star Saver, The	(GB)
Aerostar	(GB)
After Burst	(GB)
Agro Soar	(GB)
Akazukin Chacha	(GB)
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude	(GB)
Akumajou Special - Boku Dracula-kun	(GB)
Aladdin	(GB)
Alfred Chicken	(GB)
Alien 3	(GB)
Alien Games	(GB)
Alien Invasion	(GB)
Alien Olympics	(GB)
Alien vs Predator	(GB)
Alien vs Predator - The Last of His Clan	(GB)
All-Star Baseball 99	(GB)
Alley	(GB)
Alleyway	(GB)
Alphamax	(GB)
Altered Space - A 3-D Alien Adventure	(GB)
Amazing Penguin	(GB)
Amazing Spider-Man, The	(GB)
America Oudan Ultra Quiz	(GB)
America Oudan Ultra Quiz Part 2	(GB)
America Oudan Ultra Quiz Part 3 - Champion Taikai	(GB)
America Oudan Ultra Quiz Part 4	(GB)
Amida	(GB)
Anctrayl	(GB)
Animal Breeder	(GB)
Animal Breeder 2	(GB)
Animaniacs	(GB)
Another Bible	(GB)
Another Push Game	(GB)
Aoki Densetsu Shoot!	(GB)
Aprilia - DiTech Interface	(GB)
Aqua	(GB)
Arcade Classic No. 1 - Asteroids & Missile Command	(GB)
Arcade Classic No. 2 - Centipede & Millipede	(GB)
