500	(NES)
1942	(NES)
1943	(NES)
1944	(NES)
2048	(NES)
!Clik!	(NES)
0-to-X	(NES)
10-Yard Fight	(NES)
100 Man Dollar Kid - Maboroshi no Teiou Hen	(NES)
100-in-1	(NES)
100-in-1 Contra Function 16	(NES)
100-in-1 Real Game	(NES)
1000 Stars	(NES)
10000000-in-1 Unchained Melody 95	(NES)
1007 Bolts	(NES)
106 Games	(NES)
11-in-1 NES Musical Pack	(NES)
110-in-1	(NES)
117-in-1	(NES)
1200-in-1	(NES)
13 Spook Hollow Road	(NES)
15-in-1 DIGITALezLG	(NES)
150-in-1 Golden 1992	(NES)
150-in-1 Unchained Melody	(NES)
16-in-1 Cassetta Videogame	(NES)
168-in-1	(NES)
168-in-1 New Contra Function 16	(NES)
18-in-1	(NES)
18-in-1 - Videogame Super 8 Bit - Cassetta 18 Giochi	(NES)
18-in-1 Videogame Super 8 Bit Cassetta 18 Giochi	(NES)
1943 - The Battle of Midway	(NES)
1943 - The Battle of Valhalla	(NES)
1988 Jinpai Mali	(NES)
1991 Du Ma Racing	(NES)
1992 Gaishi 190-in-1 Hua Mian Xuan Guan	(NES)
1992 Super HiK 3-in-1	(NES)
1995 Super Value Collection 2-in-1	(NES)
1996 Aoyunhui Jingji Ban 24-in-1	(NES)
1996 Yingyu CAI 3-in-1	(NES)
1997 Super HIK 16-in-1	(NES)
1999 - Hore, Mitakotoka! Seikimatsu	(NES)
2-in-1 - Conan & Rygar	(NES)
2-in-1 - Shuang Wang Ji	(NES)
2-in-1 - Street Dance + Hit Mouse	(NES)
2-in-1 - Zhili Pintu + Dudu Wawa Da Maoxian	(NES)
2-in-1 Geminim-Siamond	(NES)
20-in-1	(NES)
2002 121-in-1	(NES)
2002 61-in-1	(NES)
2010 Street Fighter	(NES)
211-in-1 - 1992 Ultra Power Card	(NES)
22 Games	(NES)
23-in-1 Super Game	(NES)
23+222-in-1	(NES)
240p Test Suite	(NES)
240p Test Suite with Gus's Game Collection	(NES)
245-in-1 Real Game	(NES)
24K 4-in-1 Baozheng Zhen Ka Quanji	(NES)
2600 AD	(NES)
29~10MG-in-1	(NES)
2A03 Puritans	(NES)
3-D WorldRunner	(NES)
3-in-1	(NES)
3-in-1 - Spartan Super 1998	(NES)
3-in-1 2p Pak	(NES)
3-in-1 Supergun	(NES)
30 Games	(NES)
31-in-1	(NES)
32-in-1	(NES)
32-in-1 Speech Educational Software	(NES)
3D Block	(NES)
4 Nin Uchi Mahjong	(NES)
4-in-1	(NES)
4-in-1 - BattleCity - Pac-Man - Galaga - Ice Climber	(NES)
4-in-1 - Unsurpass Air-Combat Series	(NES)
400-in-1	(NES)
42 Games	(NES)
42-in-1	(NES)
42-in-1 Y2K	(NES)
45-in-1	(NES)
45-in-1 Educational Computer	(NES)
48-in-1 Educational Computer	(NES)
48-in-1 Educational Computer 2000	(NES)
4hued	(NES)
5-in-1	(NES)
5-STAR Restaurant	(NES)
500-in-1 - Unchained Melody	(NES)
52-in-1	(NES)
54-in-1 Famicom Yarou	(NES)
58-in-1	(NES)
6-in-1	(NES)
62-in-1 Hi Game 2000	(NES)
64 Games	(NES)
64-in-1	(NES)
64-in-1 - 64Games for Game Station	(NES)
68-in-1	(NES)
6800000-in-1	(NES)
7-in-1	(NES)
7-in-1 Famicom Yarou Vol. 2	(NES)
7-in-1 Famicom Yarou Vol. 3	(NES)
720 Degrees	(NES)
75 Bingo	(NES)
75 BinGuo	(NES)
76-in-1	(NES)
77-in-1	(NES)
777 Lucky Bingo	(NES)
777 Xingyun Lunpan	(NES)
8 Eyes	(NES)
8-BIT ADV STEINS;GATE	(NES)
8-Bit Hero Trainer	(NES)
8-Bit Slasher 4-in-1 Horror Demakes	(NES)
8-BIT XMAS 2008	(NES)
8-BIT XMAS 2009	(NES)
8-BIT XMAS 2010	(NES)
8-BIT XMAS 2011	(NES)
8-BIT XMAS 2012	(NES)
8-BIT XMAS 2013	(NES)
8-BIT XMAS 2014	(NES)
8-BIT XMAS 2015	(NES)
8-BIT XMAS 2016	(NES)
8-BIT XMAS 2017	(NES)
8-BIT XMAS 2018	(NES)
8-BIT XMAS 2019	(NES)
8-BIT XMAS 2020	(NES)
8-BIT XMAS 2021	(NES)
8-BIT XMAS 2022	(NES)
8-BIT XMAS 2023	(NES)
8-in-1 Little Mermaid, The	(NES)
80's Bros. vs the Horde of Chewbaccy Balboa	(NES)
81ex	(NES)
82-in-1	(NES)
89 Dennou Kyuusei Uranai	(NES)
8Bit Brix Design Studio	(NES)
8Bit Brix Design Studio & Snake Game	(NES)
8Bit Music Power	(NES)
8Bit Music Power Encore	(NES)
8Bit Music Power Final	(NES)
8BIT Rhythm Land	(NES)
8Bit RIKI Illustrations	(NES)
8bit-Collection - Culture Brain Vol.01	(NES)
8bit-Collection - Data East Vol.01	(NES)
8bit-Collection - Jaleco Vol.01	(NES)
8bit-Collection - Jaleco Vol.02	(NES)
8bitpeoples - After Dark	(NES)
90-in-1 Super Standard	(NES)
93 Chaoji Hun	(NES)
93 Zuixin Yizhi Chaoji Jinka 4-in-1	(NES)
99 Crystals	(NES)
999-in-1	(NES)
9999999-in-1	(NES)
9999999-in-1 - 14 Giochi X-140	(NES)
9999999-in-1 - Novel Diamond	(NES)
9999999-in-1 - World Series Championship	(NES)
999999999-in-1	(NES)
A Ressha de Ikou	(NES)
Aa Yakyuu Jinsei Icchokusen	(NES)
Abadox	(NES)
Abadox - The Deadly Inner War	(NES)
Abarenbou Tengu	(NES)
Abbaye des Morts, L'	(NES)
Accession	(NES)
Aces - Iron Eagle III	(NES)
Action 52	(NES)
Action 53 Function 16 - Volume One	(NES)
Action 53 Vol. 3 - Revenge of the Twins	(NES)
Action 53 Vol. 4 - Actually 54	(NES)
Action in New York	(NES)
Adam & Eve	(NES)
Addams Family, The	(NES)
Addams Family, The - Pugsley's Scavenger Hunt	(NES)
Addams Family, The - Uncle Fester's Quest	(NES)
Advanced Dungeons & Dragons - Dragons of Flame	(NES)
Advanced Dungeons & Dragons - DragonStrike	(NES)
Advanced Dungeons & Dragons - Heroes of the Lance	(NES)
Advanced Dungeons & Dragons - Hillsfar	(NES)
Advanced Dungeons & Dragons - Pool of Radiance	(NES)
Adventure	(NES)
Adventure Island	(NES)
Adventure Island 3	(NES)
Adventure Island Classic	(NES)
Adventure Island II	(NES)
Adventure Island III	(NES)
Adventure Island Part II, The	(NES)
Adventure of Inferno	(NES)
Adventures in the Magic Kingdom	(NES)
Adventures of Bayou Billy, The	(NES)
Adventures of Dino Riki	(NES)
Adventures of Dr. Franken, The	(NES)
Adventures of Eldorin	(NES)
Adventures of Gilligan's Island, The	(NES)
Adventures of Lex and Grim, The	(NES)
Adventures of Lolo	(NES)
Adventures of Lolo 2	(NES)
Adventures of Lolo 3	(NES)
Adventures of Lolo II	(NES)
Adventures of Mr. 2 and Puncher P., The	(NES)
Adventures of Panzer 2, The	(NES)
Adventures of Panzer 3, The	(NES)
Adventures of Panzer, The	(NES)
Adventures of Panzer, The - DMuscles	(NES)
Adventures of Panzer, The - Frontiers	(NES)
Adventures of Rad Gravity, The	(NES)
Adventures of Rip	(NES)
Adventures of Rocky and Bullwinkle and Friends, The	(NES)
Adventures of Spaceman BIT, The	(NES)
Adventures of the Amazing Stickman, The	(NES)
Adventures of Tom Sawyer	(NES)
After Burner	(NES)
AfterWorld Deluxe	(NES)
Age of Darkness	(NES)
Ai Sensei no Oshiete - Watashi no Hoshi	(NES)
Ai Senshi Nicol	(NES)
Aien Cat 2	(NES)
Aigina no Yogen - Balubalouk no Densetsu Yori	(NES)
Aino - Descendant of Fire	(NES)
Air Fortress	(NES)
Air Hockey	(NES)
Air Sea Battle	(NES)
Airball	(NES)
Airboat Apocalypse	(NES)
AirGap 2020 Commemorative NES Cartridge	(NES)
Airwolf	(NES)
Akagawa Jirou no Yuurei Ressha	(NES)
Akai Ringo to Midori no Inko	(NES)
Akira	(NES)
Akuma no Shoutaijou	(NES)
Akuma-kun - Makai no Wana	(NES)
Akumajou Densetsu	(NES)
Akumajou Dracula	(NES)
Akumajou Special - Boku Dracula-kun	(NES)
Al Unser Jr. Turbo Racing	(NES)
Aladdin	(NES)
Aladdin 4	(NES)
Aladdin II	(NES)
Aladdin III	(NES)
Alerio	(NES)
Alex DeMeo's Race America	(NES)
Alex Islands	(NES)
Alfombra Magica, La	(NES)
Alfonzo Game, The	(NES)
Alfonzo Melee!	(NES)
Alfonzo's Arctic Adventure	(NES)
Alfred Chicken	(NES)
Alien 3	(NES)
Alien Cat 2	(NES)
Alien Nah'topsy	(NES)
Alien Syndrome	(NES)
Alienoids	(NES)
All Hell Unleashed	(NES)
All-Pro Basketball	(NES)
Allison of Astra - Allison Doesn't Go Hawaiian	(NES)
Allison of Astra - Allison's Booty Quest	(NES)
Allison of Astra - Allison's Scribble Quest	(NES)
Allison of Astra - Dodgeball RPG	(NES)
Allison of Astra - Finity Train	(NES)
Allison of Astra - Margarita	(NES)
Allison of Astra - Margarita Mix	(NES)
Allison of Astra - The Marvelous Mrs. Mendel	(NES)
Allison of Astra in - Timeless and Spaceless	(NES)
Allison of Astra Starring in PRGE the Game	(NES)
Allison's Amazing Activity Generator	(NES)
Almika - The Star Rider - Densetsu Gaiden	(NES)
Almost Hero	(NES)
Alone in the Dark	(NES)
Alpha Mission	(NES)
Alphabet, The	(NES)
Alter Ego	(NES)
Altercation	(NES)
Alwa's Awakening - The 8-Bit Edition	(NES)
Alwa's Awakening Soundtrack	(NES)
Amagon	(NES)
Ambushed	(NES)
America Daitouryou Senkyo	(NES)
America Oudan Ultra Quiz - Shijou Saidai no Tatakai	(NES)
American Dream	(NES)
American Football - Touchdown Fever	(NES)
American Gladiators	(NES)
Americannon Civil War Sokoban	(NES)
Anamanaguchi - Power Supply	(NES)
Angry Birds	(NES)
AngstMan Rebooted	(NES)
Anguna - Scourge of the Goblin King	(NES)
Anguna Zero	(NES)
Anhei Pohuai Shen - Diablo	(NES)
Animal Clipper	(NES)
Animalia Dreamland	(NES)
Ankoku Shinwa - Yamato Takeru Densetsu	(NES)
Ankoro Mochi Manufacturing Factory	(NES)
Anna	(NES)
Anna - The Magic of Words	(NES)
Another World	(NES)
Antenna Antics	(NES)
Anticipation	(NES)
ANTR - Another NES Tetris Remake	(NES)
AO	(NES)
Ao Jian Jianghu	(NES)
Aoki Ookami to Shiroki Mejika - Genchou Hishi	(NES)
Aoki Ookami to Shiroki Mejika - Genghis Khan	(NES)
Aoshi Sanguozhi	(NES)
Aoshi Tiandi	(NES)
Apple Head Land	(NES)
Apuntalo, Cheril!	(NES)
Arabian	(NES)
Arabian Dream Scheherazade	(NES)
Arcadia VI	(NES)
Arch Rivals - A Basketbrawl!	(NES)
Archon	(NES)
Arctic	(NES)
Arctic Adventure - Penguin & Seal	(NES)
Argon Dream	(NES)
Argos no Senshi	(NES)
Argos no Senshi - Hachamecha Daishingeki	(NES)
Argus	(NES)
Arispi Dragon	(NES)
Arkacolor	(NES)
Arkade Rush	(NES)
Arkanoid	(NES)
Arkanoid II	(NES)
Arkista's Ring	(NES)
Arlington Apple in an Interplanetary Pickle	(NES)
Arm Wrestling Classic, The	(NES)
Armadillo	(NES)
Armana no Kiseki	(NES)
Armed for Battle	(NES)
Art is Dead	(NES)
Artelius	(NES)
Artix	(NES)
Asder - 20 in 1	(NES)
Asder - 20-in-1	(NES)
Ashen House	(NES)
Ashes and Dust of the Old World	(NES)
Ashes and Ruins of the Old World, The	(NES)
Ashes of a Doomed Old World	(NES)
Ashes of a Ruined Old World	(NES)
Ashes of the Old World	(NES)
Asmik-kun Land	(NES)
ASO - Armored Scrum Object	(NES)
Aspect Star 'N'	(NES)
Aspen's Adventure	(NES)
Assault!! On Planet Beezlbub	(NES)
Assimilate	(NES)
Asterix	(NES)
Asteroids	(NES)
Astro Boy	(NES)
Astro Fang - Super Machine	(NES)
Astro Ninja Man	(NES)
Astro Ninja Man DX	(NES)
Astro Robo Sasa	(NES)
Astro Smash 'n' Blast!	(NES)
Astroid	(NES)
Astrosmash	(NES)
Astyanax	(NES)
Atari Flashback	(NES)
Athena	(NES)
Athin	(NES)
Athletic World	(NES)
Atlantis no Nazo	(NES)
Atmo Sphere	(NES)
Atmoss 9	(NES)
Attack Animal Gakuen	(NES)
Attack from Planet X	(NES)
Attack of the Gummy Bears	(NES)
Attack of the Killer Tomatoes	(NES)
Auge	(NES)
Aussie Rules Footy	(NES)
Auto-Upturn	(NES)
AV Bishoujo Senshi Girl Fighting	(NES)
AV Hanafuda Club	(NES)
AV Kyuukyoku Mahjong 2	(NES)
AV Mahjong Club	(NES)
AV Mei Shaonu Zhanshi	(NES)
AV Pachi-Slot	(NES)
AV Pachi-Slot - Big Chance	(NES)
AV Poker	(NES)
AV Soccer	(NES)
AV Super Real Pachinko	(NES)
Awol	(NES)
Axolotl Adventure	(NES)
B-Wings	(NES)
Ba Bao Qizhu	(NES)
Babel Blox	(NES)
Babel no Tou	(NES)
Baboom!	(NES)
Baby Boomer	(NES)
Back to the Future	(NES)
Back to the Future IV	(NES)
Back to the Future Part II & III	(NES)
BackwardsQuest	(NES)
Bad Dread TV	(NES)
Bad Dudes	(NES)
Bad Dudes vs. Dragon Ninja	(NES)
Bad News Baseball	(NES)
Bad Street Brawler	(NES)
Baddie Blaster Vs. The Unliving Dead	(NES)
Baiwan Fuweng	(NES)
Baken Hisshou Gaku - Gate In	(NES)
Bakushou! Star Monomane Shitennou	(NES)
Bakushou!! Ai no Gekijou	(NES)
Bakushou!! Jinsei Gekijou	(NES)
Bakushou!! Jinsei Gekijou 2	(NES)
Bakushou!! Jinsei Gekijou 3	(NES)
Balda	(NES)
Ball'N'Flag	(NES)
Ballblazer	(NES)
Balloon Fight	(NES)
Balloon Monster	(NES)
Balloon Stand	(NES)
Ballooney	(NES)
Baltron	(NES)
Banana	(NES)
Banana Bash!	(NES)
Banana Nana	(NES)
Banana Prince	(NES)
Bananan Ouji no Daibouken	(NES)
Bandai Golf - Challenge Pebble Beach	(NES)
Bandit Kings of Ancient China	(NES)
Banketh, The	(NES)
Bao Qingtian	(NES)
Bao Qingtian - Gedou Ban	(NES)
Baoxiao Sanguo	(NES)
Barback	(NES)
Barbie	(NES)
Barcode World	(NES)
Bard's Tale II, The - The Destiny Knight	(NES)
Bard's Tale, The	(NES)
Bard's Tale, The - Tales of the Unknown	(NES)
Bare Metal	(NES)
Bare Metal 2.0	(NES)
Barker Bill's Trick Shooting	(NES)
Baseball	(NES)
Baseball Fighter	(NES)
Baseball Simulator 1.000	(NES)
Baseball Star - Mezase Sankanou!!	(NES)
Baseball Stars	(NES)
Baseball Stars II	(NES)
Bases Loaded	(NES)
Bases Loaded 3	(NES)
Bases Loaded 4	(NES)
Bases Loaded II - Second Season	(NES)
Bashi Bazook - Morphoid Masher	(NES)
Basic Championship Wrestling	(NES)
Basse Def Adventures	(NES)
Basu The Demon Hunter	(NES)
Bat Lizard Bonanza	(NES)
Batman	(NES)
Batman - Return of the Joker	(NES)
Batman - The Video Game	(NES)
Batman 2	(NES)
Batman 4	(NES)
Batman Flash	(NES)
Batman III	(NES)
Batman Returns	(NES)
Batman Versus Predator	(NES)
Batsu & Terry - Makyou no Tetsujin Race	(NES)
Battery Chad - Shock the World	(NES)
Battle Baseball	(NES)
Battle Chess	(NES)
Battle Fleet	(NES)
Battle for the Bloodstream	(NES)
Battle Formula	(NES)
Battle Kid - Fortress of Peril	(NES)
Battle Kid 2 - Mountain of Torment	(NES)
Battle of Olympus, The	(NES)
Battle Rush - Build Up Robot Tournament	(NES)
Battle Stadium - Senbatsu Pro Yakyuu	(NES)
Battle Storm	(NES)
Battle Tank	(NES)
Battleball	(NES)
Battleball Udapong	(NES)
BattleCity	(NES)
Battleship	(NES)
Battletoad II	(NES)
Battletoads	(NES)
Battletoads-Double Dragon	(NES)
Battlezone	(NES)
Bawang de Dalu - Zhongwen Jiaqiang Ban	(NES)
BB Car	(NES)
Be a Pirate	(NES)
Be-Bop-Highschool - Koukousei Gokuraku Densetsu	(NES)
Beastly Battalion	(NES)
Beat 'Em High	(NES)
Beat 'n Box	(NES)
Beat'em & Eat'em	(NES)
Beauty and the Beast	(NES)
Bee 52	(NES)
Beer Slinger	(NES)
Beetlejuice	(NES)
Below Chaos	(NES)
Berzerk	(NES)
Best Keiba - Derby Stallion	(NES)
Best of the Best - Championship Karate	(NES)
Best Play Pro Yakyuu	(NES)
Best Play Pro Yakyuu '90	(NES)
Best Play Pro Yakyuu II	(NES)
Best Play Pro Yakyuu Special	(NES)
Betelgeuse	(NES)
Beyond Frontier 5	(NES)
Beyond the Pins	(NES)
Bible Adventures	(NES)
Bible Buffet	(NES)
Big City Sliding Blaster	(NES)
Big Nose and the Witchdoctor	(NES)
Big Nose Freaks Out	(NES)
Big Nose the Caveman	(NES)
Bigfoot	(NES)
Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal	(NES)
Bikkuriman World - Gekitou Sei Senshi	(NES)
Bill & Ted's Excellent Video Game Adventure	(NES)
Bill Elliott's NASCAR Challenge	(NES)
Billionaire Banshee	(NES)
Billy No Balls	(NES)
Binary Land	(NES)
Bingo	(NES)
Bingo 75	(NES)
BinGuo 75	(NES)
Bio Force Ape	(NES)
Bio Miracle Bokutte Upa	(NES)
Bio Senshi Dan - Increaser Tono Tatakai	(NES)
Biocats	(NES)
Bionic Commando	(NES)
Bird Week	(NES)
Black Bass II, The	(NES)
Black Bass, The	(NES)
Black Box Challenge	(NES)
Black Dragon	(NES)
Black Jewel Reborn	(NES)
Blackjack	(NES)
Blade Buster	(NES)
Blades of Steel	(NES)
Blasted Cats 1k	(NES)
Blaster Furious	(NES)
Blaster Master	(NES)
Blazing Blocks	(NES)
Blazing Rangers	(NES)
Blazing Rescue	(NES)
Blob	(NES)
Blob Attack 2	(NES)
Blob Land	(NES)
Blob Quest	(NES)
Blobert	(NES)
Block Dude	(NES)
Block Force	(NES)
Block Out	(NES)
Block Puzzle	(NES)
Blockage	(NES)
Blodia Land - Puzzle Quest	(NES)
Bloodfall	(NES)
Bloodshed - The Five Clans of Tresibra	(NES)
Bloody Warriors - Shan-Go no Gyakushuu	(NES)
Bloque Magico, El	(NES)
Blow'em Out!	(NES)
Blue Balloon Adventure	(NES)
Blue Marlin, The	(NES)
Blue Shadow	(NES)
Blues Brothers, The	(NES)
Blurred Lines 2048	(NES)
BMX Simulator	(NES)
Bo Jackson Baseball	(NES)
Bobby Six Seven - Time-Traveling Detective	(NES)
Bobl	(NES)
Bogen	(NES)
Bohpoli! - Magical Warps	(NES)
Bokosuka Wars	(NES)
Bollywood 2003	(NES)
Bollywood 2007	(NES)
Bomb Array	(NES)
Bomb Panic	(NES)
Bomb Sweeper	(NES)
Bomber 4K	(NES)
Bomber Boy	(NES)
Bomber King	(NES)
Bomberman	(NES)
Bomberman II	(NES)
Bonk's Adventure	(NES)
Bonza	(NES)
Booby Kids	(NES)
Boogerman	(NES)
Boogerman II - The Final Adventure	(NES)
Booky Man	(NES)
Boomerang Kid	(NES)
Bootee	(NES)
Boulder Crash	(NES)
Boulder Dash	(NES)
Bovinium Quest - Batteries Not Included	(NES)
Bowels of the Beast	(NES)
Bowling	(NES)
Box Boy	(NES)
Box, The	(NES)
Boxgame	(NES)
Boxing + Soccer	(NES)
BPM	(NES)
Brain Fu Programming Language Interpreter	(NES)
Bram Stoker's Dracula	(NES)
Brandon, You're Going to Hell!	(NES)
Bravesoft Windows 2000	(NES)
Brayden Bech Tolds FLC	(NES)
Break Time - The National Pool Tour	(NES)
Breakfast of Champions	(NES)
Breakout	(NES)
BreakThru	(NES)
Brian Lara 2003	(NES)
Brick Breaker	(NES)
Brilliant Com Cocoma Pack 1	(NES)
Brilliant Com Cocoma Pack 2	(NES)
Brilliant Pebbles	(NES)
Brix Battle	(NES)
Broken	(NES)
Brony Blaster	(NES)
Brother	(NES)
Brush Roller	(NES)
Bubble Bath Babes	(NES)
Bubble Bobble	(NES)
Bubble Bobble 2	(NES)
Bubble Bobble Part 2	(NES)
Bucky O'Hare	(NES)
Bug Squashers	(NES)
Buggy Popper	(NES)
Bugs Bunny Birthday Bash	(NES)
Bugs Bunny Birthday Blowout, The	(NES)
Bugs Bunny Blowout, The	(NES)
Bugs Bunny Crazy Castle, The	(NES)
Bugs Bunny Fun House	(NES)
BugTris	(NES)
BullyBoy 500-in-1	(NES)
BullyBoy Super Game 402-in-1	(NES)
Bump 'n' Jump	(NES)
Burai Fighter	(NES)
BurgerTime	(NES)
Burn 'em Down	(NES)
Burnin Rubber	(NES)
Business Wars	(NES)
Bust-A-Nut - The Flight of the Harbinger	(NES)
Bustina and the Search for Booty!	(NES)
Button Logger Tool Musical Controller Toy and Stuff	(NES)
Button Smasher	(NES)
Buzz & Waldog	(NES)
Byakuren Brain Box	(NES)
Cabal	(NES)
Cadillac	(NES)
Caesars Palace	(NES)
Caged Fury	(NES)
Cai Dilei - Bianji Pian	(NES)
Cai Dilei - Duizhan Pian	(NES)
Cai Dilei - Rumen Pian	(NES)
Caishen Dao	(NES)
cajoNES	(NES)
cajoNES DELUXE!	(NES)
California Games	(NES)
California Raisins - The Grape Escape	(NES)
Caltron - 6 in 1	(NES)
Caltron - 9 in 1	(NES)
Candelabra - Estoscerro	(NES)
Candyman - Be My Victim	(NES)
Canyon Bomber	(NES)
Capcom Barcelona '92	(NES)
