Ace Combat	(PS1)
Ace Combat 04: Shattered Skies	(PS2)
Ace Combat 2	(PS1)
Ace Combat 3: Electrosphere	(PS1)
Ace Combat 5: The Unsung War	(PS2)
Ace Combat Zero: The Belkan War	(PS2)
Anna Kournikova's Smash Court Tennis	(PS1)
Baten Kaitos: Eternal Wings and the Lost Ocean	(GC)
Battle City	(NES)
Dead to Rights	(PS2)
Dead to Rights	(GC)
Dead to Rights	(PC)
Dead to Rights II	(PS2)
Dead to Rights II	(PC)
Dead to Rights: Reckoning	(PSP)
Death by Degrees	(PS2)
Dragon Buster II: Yami no Fūin	(NES)
Dragon Valor	(PS1)
Erika to Satoru no Yume Bōken	(NES)
Golly! Ghosts! Goal!	(PC)
Great Greed	(GB)
Katamari Damacy	(PS2)
Kill Switch	(PS2)
Kill Switch	(PC)
King of Kings	(NES)
Klonoa 2: Dream Champ Tournament	(GBA)
Klonoa 2: Lunatea's Veil	(PS2)
Klonoa Beach Volleyball	(PS1)
Klonoa Heroes: Densetsu no Star Medal	(GBA)
Klonoa: Door to Phantomile	(PS1)
Klonoa: Empire of Dreams	(GBA)
LiberoGrande 2	(PS1)
Mappy Kids	(NES)
Mappy-Land	(NES)
Me & My Katamari	(PSP)
Metal Marines	(SNES)
Mr. Driller Drill Land	(GC)
Ms. Pac-Man	(GB)
Ms. Pac-Man	(NES)
Ms. Pac-Man	(GG)
Ms. Pac-Man Maze Madness	(PS1)
Ms. Pac-Man Maze Madness	(N64)
Ms. Pac-Man Maze Madness	(DC)
Ms. Pac-Man Maze Madness	(GBA)
Najavu no Daiboken: My Favorite Namja Town	(PS1)
Namco × Capcom	(PS2)
Namco Classic	(NES)
Namco Classic	(GB)
Namco Classic II	(NES)
Namco Mahjong: Sparrow Garden	(PS1)
Namcot Open	(SNES)
Pac-Attack	(SNES)
Pac-Attack	(SMD)
Pac-Attack	(GB)
Pac-Attack	(GG)
Pac-In-Time	(GB)
Pac-In-Time	(SNES)
Pac-Man 2: The New Adventures	(SNES)
Pac-Man 2: The New Adventures	(SMD)
Pac-Man Fever	(GC)
Pac-Man Fever	(PS2)
Pac-Man World	(PS1)
Pac-Man World	(GBA)
Pac-Man World 2	(PS2)
Pac-Man World 2	(GC)
Pac-Man World 3	(PS2)
Pac-Man World 3	(GC)
Pac-Man World 3	(PSP)
Pac-Man World 3	(NDS)
Pac-Man World 3	(PC)
Point Blank 2	(PS1)
Pro Yakyū Family Stadium	(NES)
Quad Challenge	(SMD)
R: Racing Evolution	(PS2)
R: Racing Evolution	(GC)
R4: Ridge Racer Type 4	(PS1)
Rage Racer	(PS1)
Rescue Shot	(PS1)
Ridge Racer Revolution	(PS1)
Ridge Racer V	(PS2)
Rolling Thunder 3	(SMD)
Sigma Star Saga	(GBA)
Soulcalibur III	(PS2)
Splatterhouse 2	(SMD)
Splatterhouse 3	(SMD)
Splatterhouse: Wanpaku Graffiti	(NES)
Star Ixiom	(PS1)
Star Luster	(NES)
Starblade Alpha	(PS1)
Street Racing Syndicate	(GC)
Street Racing Syndicate	(PS2)
Street Racing Syndicate	(PC)
Street Racing Syndicate	(GBA)
Super Family Gerenade	(SNES)
Super Wagan Land	(SNES)
Super Xevious: GAMP no Nazo	(NES)
Tales of Destiny	(PS1)
Tales of Legendia	(PS2)
Tales of Phantasia	(SNES)
Tales of Phantasia	(PS1)
Tales of Phantasia	(GBA)
Tales of Phantasia: Narikiri Dungeon	(GBC)
Tales of Rebirth	(PS2)
Tales of Symphonia	(GC)
Tales of Symphonia	(PS2)
Tales of the Abyss	(PS2)
Tales of the World: Narikiri Dungeon 2	(GBA)
Tales of the World: Narikiri Dungeon 3	(GBA)
Tales of the World: Summoner's Lineage	(GBA)
Tekken Advance	(GBA)
The Quest of Ki	(NES)
Time Crisis: Project Titan	(PS1)
Tower of Babel	(NES)
Urban Reign	(PS2)
Valkyrie no Bōken: Toki no Kagi Densetsu	(NES)
Venus & Braves	(PS2)
Volfoss	(PS1)
Wagan Land	(NES)
Wagan Land	(GG)
We Love Katamari	(PS2)
Weaponlord	(SNES)
Weaponlord	(SMD)
Wrestleball	(SMD)
Xandra no Daibōken: Valkyrie to no Deai	(SNES)
Xenosaga Episode I: Der Wille zur Macht	(PS2)
Xenosaga Episode II: Jenseits von Gut und Böse	(PS2)
Dragon Spirit	(DOS)
Gauntlet	(DOS)
Pole Position	(DOS)
Pole Position II	(DOS)
Super Pac-Man	(DOS)
Pac-in-Time	(DOS)
Klax	(DOS)
Paperboy	(DOS)
Karnov	(DOS)
Dark Seed	(DOS)
Bad Dudes vs. Dragon Ninja	(DOS)
Pole Position	(C64)
Pole Position II	(C64)
Super Pac-Man	(C64)
Pac-in-Time	(GB)
Klax	(GB)
Paperboy	(GB)
Klax	(GBC)
Paperboy	(GBC)
Klax	(SMD)
Paperboy	(SMD)
Klax	(NES)
Paperboy	(NES)
Klax	(Master System)
Paperboy	(Master System)
Klax	(Game Gear)
Paperboy	(Game Gear)
Klax	(C64)
Paperboy	(C64)
Paperboy	(ZX)
Karnov	(ZX)
Karnov	(DOS)
Karnov	(NES)
Karnov	(C64)
Karnov	(Amstrad)
Namco Gallery Vol. 3	(GB)
Namco Gallery Vol. 2	(GB)
Namco Gallery Vol. 1	(GB)
Arcade Classic 3: Galaga / Galaxian	(GB)
Family Jockey 2: Meiba no Kettō	(GB)
Battle Space	(GB)
Great Greed	(GB)
Jantaku Boy	(GB)
Namco Classic	(GB)
Extra Bases	(GB)
Pac-Man World 2	(GBA)
Namco Museum: 50th Anniversary	(GBA)
Hachiemon	(GBA)
Klonoa Heroes: Densetsu no Star Medal	(GBA)
Tekken Advance	(GBA)
Mr. Driller 2	(GBA)
Tales of Phantasia	(GBA)
Xevious	(GBA)
Mr. Driller Ace: Fushigi na Pacteria	(GBA)
Klonoa 2: Dream Champ Tournament	(GBA)
Family Tennis Advance	(GBA)
Klonoa: Empire of Dreams	(GBA)
Pac-Man Collection	(GBA)
Namco Museum	(GBA)
Pocket King	(GBC)
Tales of Phantasia: Narikiri Dungeon	(GBC)
