Last Ninja 3	(Amiga)
Shadow Dancer	(Amiga)
The Ninja Warriors	(Amiga)
Iketa	(C64)
Enter the Ninja	(C64)
Ninja Commando	(C64)
Kendo Warrior	(C64)
Ninja Remix	(C64)
Bionic Ninja	(C64)
Ninja Scooter Simulator	(C64)
Ninja Hamster	(C64)
Ninja Massacre	(C64)
BMX Ninja	(C64)
Saboteur	(C64)
Ninja Master	(C64)
The Way of the Tiger	(C64)
Avenger	(C64)
Kendo Warrior	(ZX)
Ninja Remix	(ZX)
Bionic Ninja	(ZX)
Ninja Scooter Simulator	(ZX)
Ninja Hamster	(ZX)
Ninja Massacre	(ZX)
BMX Ninja	(ZX)
Saboteur	(ZX)
Ninja Master	(ZX)
The Way of the Tiger	(ZX)
Avenger	(ZX)
Ninja Remix	(Amstrad)
Bionic Ninja	(Amstrad)
Ninja Scooter Simulator	(Amstrad)
Ninja Hamster	(Amstrad)
Ninja Massacre	(Amstrad)
BMX Ninja	(Amstrad)
Saboteur	(Amstrad)
Ninja Master	(Amstrad)
The Way of the Tiger	(Amstrad)
Avenger	(Amstrad)
Teenage Mutant Ninja Turtles: Manhattan Missions	(DOS)
Shadow Knights	(DOS)
Worlds of Legend: Son of the Empire	(DOS)
Surf Ninjas	(DOS)
The Four Crystals of Trazere	(DOS)
Ninja Rabbits	(DOS)
Electric Crayon Deluxe: Teenage Mutant Ninja Turtles: World Tour	(DOS)
The Last Ninja	(DOS)
Ninja	(DOS)
International Ninja Rabbits	(DOS)
Sword of Honour	(DOS)
Master Ninja: Shadow Warrior of Death	(DOS)
Last Ninja 2: Back with a Vengeance	(DOS)
Teenage Mutant Ninja Turtles	(DOS)
Teenage Mutant Ninja Turtles	(DOS)
Shinobi	(DOS)
Ninja Gaiden II: The Dark Sword of Chaos	(DOS)
Saboteur II	(DOS)
Zool	(DOS)
Zool 2	(DOS)
Ninja Gaiden	(DOS)
Bruce Lee	(DOS)
Inindo: Way of the Ninja	(DOS)
Bad Dudes vs. Dragon Ninja	(DOS)
Shadow Warrior	(DOS)
Teenage Mutant Ninja Turtles III: Radical Rescue	(GB)
Zen: Intergalactic Ninja	(GB)
Ninja Gaiden Shadow	(GB)
Ninja Boy 2	(GB)
Teenage Mutant Ninja Turtles II:  Back from the Sewers	(GB)
Ninja Taro	(GB)
Teenage Mutant Ninja Turtles:  Fall of the Foot Clan	(GB)
Ninja Boy	(GB)
TMNT	(GBA)
Naruto: Ninja Council 2	(GBA)
Teenage Mutant Ninja Turtles	(GBA)
Naruto Konoha Senki	(GBA)
Naruto: Ninja Council	(GBA)
The Revenge of Shinobi	(GBA)
Tales of Phantasia	(GBA)
The Mysterious Murasame Castle	(GBA)
Ninja Five-O	(GBA)
Return of The Ninja	(GBC)
Ninja Spirit	(GB)
Surf Ninjas	(GG)
Shinobi II: The Silent Fury	(GG)
Ninja Gaiden	(GG)
Shinobi	(GG)
Naruto Gekitō Ninja Taisen! 3	(GC)
Naruto: Clash of Ninja 2	(GC)
Naruto: Clash of Ninja	(GC)
Super Smash Bros. Melee	(GC)
Teenage Mutant Ninja Turtles: Tournament Fighters	(SMD)
Teenage Mutant Ninja Turtles: The Hyperstone Heist	(SMD)
Ninja Burai Densetsu	(SMD)
Y.A.G.A.C	(SMD)
Eternal Champions	(SMD)
Ninja	(MSX)
Ninja Princess	(MSX)
Ninja	(MSX)
Candoo Ninja	(MSX)
Zen: Intergalactic Ninja	(NES)
Teenage Mutant Ninja Turtles: Tournament Fighters	(NES)
Teenage Mutant Ninja Turtles III: The Manhattan Project	(NES)
Action 52	(NES)
Ninja Crusaders	(NES)
Ninja Rahoi!	(NES)
Kagerō Densetsu	(NES)
Wrath of the Black Manta	(NES)
Kamen no Ninja Akakage	(NES)
Sukeban Deka III	(NES)
Ninja Kid	(NES)
Ninja Hattori-kun	(NES)
Kid Niki: Radical Ninja	(NES)
Yo! Noid	(NES)
Microgo1	(NES)
The Legend of Kage	(NES)
Ninja-Kun: Majō no Bōken	(NES)
Rad Action	(NES)
Ninja Gaiden	(NES)
Little Ninja Brothers	(NES)
Shadow of the Ninja	(NES)
Hyakki Yagyō	(NES)
Snowboard Kids	(N64)
Hit Ninja	(3DS)
Touch Battle Ninja	(3DS)
Senran Kagura 2: Deep Crimson	(3DS)
Senran Kagura 2: Shinku (Nyū Nyū DX Pack)	(3DS)
Senran Kagura Burst	(3DS)
Shinobi	(3DS)
Senran Kagura: Shōjotachi no Shinei	(3DS)
