1080° Avalanche	(GC)
1080° Snowboarding	(N64)
Advance Wars 	(GBA)
Bionic Commando: Elite Forces	(GBC)
Bionic Commando: Elite Forces 	(GBC)
Brain Age: Train Your Brain in Minutes a Day!	(DS)
Captain Toad: Treasure Tracker	(Wii U)
Chibi-Robo!	(GC)
Chibi-Robo! Zip Lash	(3DS)
Chibi-Robo!: Park Patrol	(DS)
Densetsu no Starfy	(GBA)
Densetsu no Starfy 2	(GBA)
Densetsu no Starfy 3	(GBA)
Densetsu no Starfy 4	(DS)
Detective Pikachu	(3DS)
Donkey Kong 64	(N64)
Donkey Kong Country	(SNES)
Donkey Kong Country 	(GBC)
Donkey Kong Country 2: Diddy's Kong Quest 	(SNES)
Donkey Kong Country 3	(SNES)
Donkey Kong Country Returns	(Wii)
Donkey Kong Country: Tropical Freeze	(Wii U)
Donkey Kong Land	(GB)
Donkey Kong Land 2	(GB)
Donkey Kong Land III	(GB)
Dr. Mario	(NES)
Dr. Mario 64	(N64)
Excite Truck	(Wii)
Excitebike 64	(N64)
Excitebike: World Rally	(WiiWare)
Excitebike: World Rally 	(Wii)
Excitebots: Trick Racing	(Wii)
F-Zero	(SNES)
F-Zero GX 	(GC)
F-Zero X	(N64)
F-Zero: Maximum Velocity 	(GBA)
Faxanadu	(NES)
geist	(GC)
GoldenEye 007	(N64)
Hyrule Warriors	(Wii U)
Kid Icarus	(NES)
Kid Icarus: Of Myths and Monsters	(GB)
Kirby & the Amazing Mirror	(GBA)
Kirby 64: The Crystal Shards	(N64)
Kirby Air Ride	(GC)
Kirby Mass Attack 	(DS)
Kirby Triple Deluxe	(3DS)
Kirby: Nightmare in Dream Land	(GBA)
Kirby: Planet Robobot	(3DS)
Kirby: Squeak Squad	(DS)
Kirby's Dream Land	(GB)
Kirby's Dream Land 2 	(GB)
Kirby's Dream Land 3 	(SNES)
Kirby's Epic Yarn	(Wii)
Kirby's Return to Dream Land 	(Wii)
Luigi's Mansion	(GC)
Luigi's Mansion 2	(3DS)
Magnetica	(DS)
Mario & Luigi: Dream Team	(3DS)
Mario & Luigi: Partners in Time	(DS)
Mario and Donkey Kong: Minis on the Move	(3DS)
Mario Kart 7	(3DS)
Mario Kart 8	(Wii U)
Mario Kart DS	(DS)
Mario Kart: Double Dash‼ 	(GC)
Mario Kart: Super Circuit 	(GBA)
Mario vs. Donkey Kong	(GBA)
Mario vs. Donkey Kong 2: March of the Minis 	(DS)
Mario vs. Donkey Kong: Mini-Land Mayhem!	(DS)
Mario vs. Donkey Kong: Tipping Stars	(Wii U)
Metroid	(NES)
Metroid Fusion	(GBA)
Metroid II: Return of Samus	(GB)
Metroid Prime	(GC)
Metroid Prime 2: Echoes	(GC)
Metroid Prime 3: Corruption	(Wii)
Metroid Prime Hunters 	(DS)
Metroid: Other M	(Wii)
Metroid: Samus Returns	(3DS)
Metroid: Zero Mission	(GBA)
Mike Tyson's Punch-Out!!	(NES)
NES Remix	(Wii U)
NES Remix 2	(Wii U)
New Super Luigi U	(Wii U)
New Super Mario Bros.	(DS)
New Super Mario Bros. 2	(3DS)
New Super Mario Bros. U	(Wii U)
New Super Mario Bros. Wii	(Wii)
Paper Mario	(N64)
Paper Mario: The Thousand-Year Door	(GC)
Pikmin	(GC)
Pikmin 2	(GC)
Pikmin 3	(Wii U)
Pilotwings	(SNES)
Pilotwings 64	(N64)
Pokemon Black / White	(DS)
Pokemon Diamond / Pearl	(DS)
Pokemon FireRed / LeafGreen	(GBA)
Pokemon HeartGold / SoulSilver	(DS)
Pokemon Mystery Dungeon: Explorers of Sky 	(DS)
Pokemon Mystery Dungeon: Red Rescue Team	(GBA)
Pokemon Ruby / Saphire	(GBA)
