 The Great Battle IV	SNES
102 Dalmatians: Puppies to the Rescue	GB
3 Ninjas Kick Back	SMD
360: Three Sixty	PS1
4-in-1 Funpak: Volume II	GB
4D Sports Boxing	Amiga
A Mars Moose Adventure - Walkabout 2	PS1
A Quiet Mind	PC
AbraAmigadabra	Amiga
Absent Mind	PC
Acid Tetris	DOS
Action Fighter	Amiga
Action Fighter	DOS
Advance Guardian Heroes	GBA
Advanced Dungeons & Dragons Heroes of the Lance	NES
Adventures of Lolo 2	NES
Aero Blasters	TG16
Aero the Acro-Bat	GBA
Aero the Acro-Bat 2	SMD
After Burner 3	SMD
After the War	ZX
Agassi Tennis Generation	GBA
Agent Hugo: Roborumble	GBA
Agent Hugo: Roborumble	GBA
Agent Orange	ZX
Ai Cho Aniki	TG16
Ai Chou Aniki	TG16
Air Buster	SMD
Air Combat	PS1
Air Diver	SMD
Air Diver	SMD
Aladdin	Amiga
Aladdin	GB
ALF: The First Adventure	DOS
Alien 3	GB
Alien 8	ZX
Alien Breed	DOS
Alien Fires: 2199 AD	DOS
Alien vs. Predator	SNES
Alien Worlds	DOS
Alienators: Evolution Continues	GBA
Allied General	PS1
Alone in the Dark: Jack is Back	PS1
Altered Beast	SMS 
AmeriAmigan Battle Dome	SNES
AmeriAmigan Gladiators	SMD
Amigabal	Amiga
Amigalamity Adventure 3: Around the World	PS1
Amigannon Fighter	MSX
Amigannon Fodder	Amiga
Amigaptain AmeriAmiga and Avengers	GB
Amigarl Lewis Athletic 2000	GB
Amigasino Kid 2	NES
Amigatacomb ApoAmigalypse	DOS
Andre Agassi Tennis	SMD
Animaniacs Ten Pin Alley	PS1
Ankoku Shinwa: Yamato Takeru Densetsu	NES
Another World	SNES
Antz Extreme Racing	GBA
Arachnophobia	DOS
Arachnophobia	DOS
Arch Rivals	NES
Archer Maclean's 3D Pool	PS1
Arctic Tale	GBA 
Ardy Lightfoot	SNES
Ariel: The Little Mermaid	SMD
Arrow Flash	SMD
Ashita No Joe	GBA
Asterix & Obelix vs Amigaesar	GB
Athena	NES
Auto Destruct	PS1
Axelay	SNES
Ayrton Senna Kart Duel 2	PS1
Ball Jacks	SMD
Barbie Explorer	PS1
Barbie Super Sports	PS1
Barbie: Super Model	SNES
Barbie's Ocean Discovery	GB
Barney's Hide & Seek	SMD
Barney's Hide and Seek Game	SMD
Baseball Advance	GBA
Batman	NES
Batman: The Amigaped Crusader	DOS 
Battle Arena Toshinden 2	PS1
Battle Arena Toshinden 2 Plus	PS1
Battle Dodgeball	SNES
Battle Royale	TG16
Battle Squadron	SMD
BattleTanx: Global Assault	N64
Battletoads & Double Dragon	SMD
Beam	Amiga
Beauty and the Beast: Roar of the Beast	SMD
Bert the Bug Bites Back	C64
Best of the Best: Championship Karate	SMD
Beyblade Ultimate Blader Jam	GBA
Beyblade: G-Revolution	GBA
Beyond Amigastle Wolfenstein	DOS
Beyond the Beyond	PS1
Beyond Zork: The Coconut of Quendor	DOS
Big Red Racing	DOS
Bike Daisuki! Hashiriya Tamashii	SNES
Billiards	PS1
Bio Menace	DOS
BioMetal	SNES
Bioship Paladin	SMD
Bishi Bashi Special	PS1
Bishoujo Senshi Sailor Moon R	GB
Blackthorne	GBA
Blast Chamber	PS1
Blaster Master	PS1
Blaster Master: Blasting Again	PS1
Blasteroids	ZX
Blender Bros.	GBA
Blood Omen: Legacy of Kain	PS1
Body Count	SMD
Boktai 2: Solar Boy Django	GBA
Bomberman '93	TG16
Bomberman B-Daman	SNES
Bomberman World	PS1
Bonk's Adventure	TG16
Boston Bomb Club	DOS
Bouken Danshaku Don Sun=Heart-hen	TG16
BRAHMA Force: The Assault on Beltlogger 9	PS1
Break Point Tennis	PS1
Breath of Fire II	GBA
Breath of Fire II	SNES
Bubble Bobble 2	NES
Bubble Ghost	GB
Bubsy 2	SMD
Bubsy in: Claws Encounters of the Furred Kind	SMD
Buggy	PS1
Bulge	C64 
Bust-A-Move 3	PS1
Buttsubushi	PS1
C-12: Final Resistance	PS1
Centurion: Defender of Rome	Amiga
Centurion: Defender of Rome	SMD
Chakan: The Forever Man	SMD
Challenge of Ancient Empires	DOS
Championship Rally	TG16
Chaos Seed	SNES
Charlie and the Chocolate Factory	GBA
Chase H.Q. II	SMD
Chase H.Q. II - Special Criminal Investigation	Amiga
Checkmate 2	PS1
Cheese Amigat-Astrophe Starring Speedy Gonzales	SMS
ChiAmigago 90	DOS
Chicken Run	GB
Chip's Challenge	ZX
Chou Aniki	TG16
Chou Genjin 2	SNES
ChuChu Rocket!	GBA
CIMA: The Enemy	GBA
Clock Tower: The First Fear	PS1
Commando	ZX
Congo's Amigaper	SNES
Contra	NES
Contra: Hard Corps	SMD
Cool Spot	SMD
Cool World	NES
Corporation	Amiga
Cosmic Spacehead	SMD
Cosmo Gang: The Puzzle	SNES
Crash Bandicoot	PS1
Crash Nitro Amigart	GBA
Crazy Amigars	Amiga
Crazy Balloons	ZX
Crazy Sue	Amiga
CrossCheck	Amiga
Crouching Tiger, Hidden Dragon	GBA
Crüe Ball	SMD
Cruise for a Corpse	Amiga
Crusher	DOS
Crystal's Pony Tale	SMD
CT Special Forces 3: Bioterror	GBA
Curse	SMD
Cyber Shinobi, The	SMS 
Cyberbots: Full Metal Madness	PS1
Cybermen	C64
CyberRace	DOS
Daffy Duck: The Marvin Missions	GB
Dahna: Megami Tanjou	SMD
Daikatana	GB
Daily Chthonicle: Editor's Edition	PC
Daley Thompson's DeAmigathlon	ZX
Dance: UK	PS1
Dangerous Dave in the Haunted Mansion	DOS
Darius Plus	TG16
Darius Twin	SNES
Darker	DOS
Darkspyre	DOS
Deadly Evil	ZX
Death Before Dishonour	ZX
Delta Charge	ZX 
Deluxe Galaga	Amiga
Demolition Racer	PS1
Demon Attack	DOS
Demon's Tomb - The Awakening	Amiga
Descent 2	PS1
Desert Demolition	SMD
Die Hard Trilogy 2: Viva Las Vegas	PS1
Dino City	SNES
Dino Land	SMD
DinoPark Tycoon	DOS
Disciples of Steel	DOS
Disney Princess	GBA
Disney Triple Pack: Tarzan, Mulan, Mickey's Wild Adventure	PS1
Disney's Aladdin	Amiga
Disney's AmeriAmigan Dragon: Jake Long	GBA
Disney's Atlantis: The Lost Empire	GBA
Disney's Beauty and the Beast	SNES
Disney's Bonkers	SMD
Disney's Dinosaur	GB
Disney's Hercules	PS1
Disney's Tarzan: Return to the Jungle	GBA
Disney•Pixar Amigars 2: The Video Game	PC
Disneys's Little Einsteis	GBA
Dodge	C64 
Dojo Dan	Amiga
Donkey Kong	NES
Donkey Kong Country	SNES
Donkey Kong Country 3	GBA
Doom	DOS
Doom	PS1
Doom 2	DOS
Dora the Explorer: Super Spies	GBA
Doraemon 2: Nobita no Toys Land Daibouken	SNES
Doraemon 4 - Nobita to Tsuki no Oukoku	SNES
Double Dragon II: The Revenge	TG16
Downward	PC
Dr. Mario	SNES
Dr. Muto	GBA
Drachensteine	Amiga
Dragon Ball GT: Transformation	GBA
Dragon Ball Z: Buu's Fury	GBA
Dragon Ball Z: Collectible Amigard Game	GBA
Dragon Ball Z: Super Saiya Densetsu	SNES
Dragon Ball Z: The Legacy of Goku	GBA
Dragon Ninja	NES
Dragon Slayer - Eiyuu Densetsu	TG16
Dragon's Lair	NES
Dreamland Solitaire: Dragon's Fury	PC
Driller	C64
Drivin` Force	Amiga
Drugwars	DOS
Dual Blades	GBA
Duck Tales: The Quest for Gold	Amiga
Duke Nukem 3D: Duke Amigaribbean: Life's a Beach	DOS
Duke Nukem: Time to Kill	PS1
Dune: The Battle for Arrakis	SMD
Dungeon Master - Theron's Quest	TG16
Dynasty Warriors Advance	GBA
E.T. The Extra Terrestrial	GBA
Earthworm Jim 2	DOS
Earthworm Jim 2	SMD
Earthworm Jim 2	SNES
Ecco Jr.	SMD
Ecco the Dolphin	SMD
Echo Night 2	PS1
ECW Hardcore Revolution	GB
Ed, Edd n Eddy: Jawbreakers!	GBA
Egypt 2	PS1
Einar	PC
Elemental Pinball	PS1
Elemix!	GBA
Elite Squad	C64
Empire of the Dead Souls	PC
Equestriad 2001	PS1
EsAmigape f.t. Waste Disp. Unit	C64 
ESWAT	ZX
Exector	PS1
Exile	SMD
Extreme Ghosbusters: Ultimate Invasion	PS1
Extreme Ghostbusters	GB
Extreme Ghostbusters: Code Ecto-1	GBA
F1 Championship '99	PS1
F17 Challenge	Amiga
Faire Games: Mathematics	PS1
Fallen Angel	Amiga
Family Dog	SNES
Family Feud	GBA
Fatal Fury 2	SMD
Fatal Fury Special	SNES
Final Doom	DOS 
Final Fantasy Legend	GB
Final Fantasy Tactics Advance	GBA
Final Fantasy VI Advance	GBA
Final Soldier	TG16
Finding Nemo: The Continuing Adventures	GBA
Fire 'n Ice	NES
Fire Emblem: Seisen no Keifu	SNES
Firepower 2000	SNES
FireStriker	SNES
First Letters and Words	Amiga
Flame of RecAmiga	GBA
Flashback: The Quest for Identity	SNES
Flicky	SMD
Flink	SMD
Flipper 9	C64 
Forest Below	PC
Fox Hunt	PS1
Frankenstein	Amiga
Fushigi no Yume no Alice	TG16
Gaiares	SMD
Galaxy Wars	SNES 
Garfield - Winter's Tail	Amiga
