Castlevania	(NES)
Castlevania	(DOS)
Castlevania	(C64)
Castlevania	(AMIGA)
Classic NES series: Castlevania	(GBA)
Vampire Killer 	(MSX)
Castlevania II: Simon's Quest	(NES)
Castlevania: The Adventure	(GB)
Castlevania: The Adventure (Konami GB Collection vol. 1)	(GBC)
Castlevania III: Dracula's Curse	(NES)
Castlevania II: Belmont's Revenge	(GB)
Castlevania II: Belmont's Revenge (Konami GB Collection vol. 3)	(GBC)
Super Castlevania IV	(SNES)
Castlevania Chronicles	(PS1)
Castlevania: Rondo of Blood	(TG16)
Castlevania: Bloodlines	(SMD)
Castlevania: Dracula X	(SNES)
Castlevania: Symphony of the Night	(PS1)
Castlevania: Symphony of the Night	(SS)
Castlevania Legends	(GB)
Castlevania 64	(N64)
Castlevania: Legacy of Darkness	(N64)
Castlevania: Circle of the Moon	(GBA)
Castlevania: Aria of Sorrow	(GBA)
Castlevania: Harmony of Dissonance	(GBA)
Castlevania: Dawn of Sorrow	(DS)
Castlevania: Portrait of Ruin	(DS)
Castlevania: Order of Ecclesia	(DS)
Castlevania: The Adventure ReBirth	(WII)
Castlevania: Lords of Shadow	(STEAM)
Castlevania: Lords of Shadow 2	(STEAM)
Castlevania: Lords of Shadow – Mirror of Fate	(STEAM)
Kid Dracula	(GB)
Akumajō Special: Boku Dracula-kun	(NES)
Castlevania: Curse of Darkness	(PS2)
Castlevania: Lament of Innocence	(PS2)
Castlevania: Judgement	(WII)
Castlevania: The Dracula X Chronicles	(PSP)
Castlevania The Lecarde Chronicles	(PC)
Castlevania ReVamped	(PC)
Castlevania: Spectral Interlude	(ZX)
Castlevania	(DOS)
Castlevania - Vampire's Kiss	(SNES)
Castlevania: Dawn of Symphony - Hack (Symphony of the Night sequel starring Alucard)	
Other Castle 2 - Hack of Super Castlevania IV [SNES]	
Castlevania: Richter & Maria -  Mod of Harmony of Dissonance GBA	
Castlevania Legends Remake Fanmade	
Castlevania: BloodStorm  - Sonia Belmont - Fangame	
Castlevania Zero 2: Requiem of Melancholy - Fan Game (PC)	
Bloodstained: Fantasia of Zangetsu  - Hack of Castlevania Aria of Sorrow	
Castlevania: Legacy of Darkness - Hack of Portrait of Ruin NDS	
Castlevania: Dawn of Dissonance - A Juste Story Mode Hack  v1.0.2	
Castlevania: Simon Goes to Atlantis - NES Style Fangame	
Castlevania: Circle of the Shadow - Gabriel Belmont Hack	
Castlevania: Legacy of Dracula - Fangame Openbor	
Castlevania: Dawn of Night - Alucard Story Mod	
Castlevania: The Soul of Dracula - Fangame	
Castlevania: Portrait of Ruin - Maria Renard Sotn Mod - NDS	
Castlevania: Moonlit Nocturne Openbor	
8 Eyes: Castlevania Edition - Starring Simon Belmont (NES)(Hack)	
Bloodstained: Castlevania Gebel - Hack of Aria of Sorrow (GBA)	
Zangyura - Castlevania Style Game (PC)	
Castlevania: Sisters Story Mode - Portrait of Ruin Hack DS	
Toziuha Night - Order of the Alchemists - Castlevania Inspired Game	
Castlevania NKN - Fan Game (PC)	
Castlevania Chronicles Dx - OpenBor Fangame	
Castlevania III: Curse of the Moon - Bloodstained Crossover (Hack) NES	
Castlevania: Hell's Lullaby  - Fangame NES Style (PC)	
Castlevania:n Castle Wars 1999 (OpenBor)	
Castlevania: Symphony of The Nightmare (OpenBor)	
Super Castlevania IV: Ancient Remix - Hack (SNES)	
Castlevania: Ninja Gaiden X (Openbor)	
Castlevania: Sonia Belmont Edition - Hack of Castlevania NES	
Super Castlevania IV: Bloodletting Mod (SNES)	
Castlevania III: Netflix Edition - Hack (NES)	
Castlevania Dracula X - Trevor Belmont Mod (SNES)	
Castlevania: Collaboration (Openbor Engine)	
Castlevania: Reaper's Reckoning - Hack of Aria of Sorrow  (GBA)	
Castlevania: Maxim Story Mode - Newest Hack of Harmony of Dissonance GBA	
Castlevania 3 for Simon's Destiny v1.1 - Doom Style	
Castlevania Epic Stories - M.U.G.E.N Fighting Game (PC)	
Castlevania: Dracula X - Stylish Richter Mod	
Castlevania: Call of Chaos - Dracula Story Mode	
Castlevania - Haunted Castle II FanGame (PC)	
Castlevania: Hugh Baldwin Story Mode - Hack of Aria of Sorrow GBA	
Castlevania: Yoko`s INSANE Story - Dawn Of Sorrow Mod	
Castlevania: Mirror of fate Trevor - Portrait of Ruin Mod (NDS)	
Castlevania PoR - Chronicles Simon Hack NDS	
Castlevania: Alucard's Altered Sorrow - Hack of Aria of Sorrow	
Castlevania: Ballad of Darkness -  Fangame PC	
Castlevania: Bloodlines - New Generations  - Unreleased Prototypes (Sega Genesis)	
Castlevania: The Lost Belmonts - Hack of Harmony of Dissonance GBA	
Castlevania - Dracula's Cursed - Hack of Aria of Sorrow - Randomizer GBA	
Castlevania: Rondo of Ruin - Great Hack of Portrait of Ruin NDS	
Castlevania: Dark Lord Soma - Dawn of Sorrow mod NDS	
Castlevania DoS mod: CV3 Pachislot Alucard (NDS)	
