3 Ninjas Kick Back	(Sega CD)
A-Rank Thunder - Tanjou-hen	(Sega CD)
A-X-101	(Sega CD)
Adventures of Batman and Robin, The	(Sega CD)
Adventures of Willy Beamish, The	(Sega CD)
After Armageddon Gaiden - Majuu Toushouden Eclipse	(Sega CD)
After Burner III	(Sega CD)
AH3 - Thunderstrike	(Sega CD)
Aisle Lord	(Sega CD)
Alshark	(Sega CD)
Amazing Spider-Man vs. The Kingpin, The	(Sega CD)
Android Assault - The Revenge of Bari-Arm	(Sega CD)
Annett Futatabi	(Sega CD)
Aoki Ookami to Shiroki Mejika - Genchou Hishi	(Sega CD)
Arcus I, II, III	(Sega CD)
Arslan Senki	(Sega CD)
AX-101	(Sega CD)
Bakuden - The Unbalanced Zone	(Sega CD)
Bari-Arm	(Sega CD)
Batman Returns	(Sega CD)
Battle Fantasy	(Sega CD)
Battle Frenzy	(Sega CD)
Battlecorps	(Sega CD)
BattleTech - Gray Death Legion	(Sega CD)
BC Racers	(Sega CD)
Beast II	(Sega CD)
Bill Walsh College Football	(Sega CD)
Black Hole Assault	(Sega CD)
Blackhole Assault	(Sega CD)
Bloodshot	(Sega CD)
Bouncers	(Sega CD)
Bram Stoker's Dracula	(Sega CD)
Brutal - Paws of Fury	(Sega CD)
Bug Blasters - The Exterminators	(Sega CD)
Burai - Yatsudama no Yuushi Densetsu	(Sega CD)
Burning Fists - Force Striker	(Sega CD)
Cadillacs and Dinosaurs - The Second Cataclysm	(Sega CD)
Captain Tsubasa	(Sega CD)
CD Sonic the Hedgehog	(Sega CD)
Championship Soccer '94	(Sega CD)
Chuck Rock	(Sega CD)
Chuck Rock II - Son of Chuck	(Sega CD)
Citizen X	(Sega CD)
Cliffhanger	(Sega CD)
Cobra Command	(Sega CD)
Colors of Modern Rock, The	(Sega CD)
Compton's Interactive Encyclopedia	(Sega CD)
Corpse Killer	(Sega CD)
Cosmic Fantasy Stories	(Sega CD)
Crime Patrol	(Sega CD)
Cyborg 009	(Sega CD)
Daihoushinden	(Sega CD)
Dark Wizard	(Sega CD)
Dark Wizard - Yomigaerishi Yami no Madoushi	(Sega CD)
Death Bringer	(Sega CD)
Demolition Man	(Sega CD)
Dennin Aleste - Nobunaga and His Ninja Force	(Sega CD)
Detonator Orgun	(Sega CD)
Devastator	(Sega CD)
Double Switch	(Sega CD)
Dracula Unleashed	(Sega CD)
Dragon's Lair	(Sega CD)
Dune	(Sega CD)
Dungeon Explorer	(Sega CD)
Dungeon Master II - Skullkeep	(Sega CD)
Dynamic Country Club	(Sega CD)
Earnest Evans	(Sega CD)
Earthworm Jim - Special Edition	(Sega CD)
Ecco - The Tides of Time	(Sega CD)
Ecco the Dolphin	(Sega CD)
Ecco the Dolphin CD	(Sega CD)
Egawa Suguru no Super League CD	(Sega CD)
ESPN Baseball Tonight	(Sega CD)
ESPN National Hockey Night	(Sega CD)
ESPN NBA Hangtime '95	(Sega CD)
ESPN Sunday Night NFL	(Sega CD)
Eternal Champions - Challenge from the Dark Side	(Sega CD)
Eye of the Beholder	(Sega CD)
F1 Circus CD	(Sega CD)
Fahrenheit	(Sega CD)
Fatal Fury Special	(Sega CD)
FIFA International Soccer	(Sega CD)
FIFA International Soccer - Championship Edition	(Sega CD)
Final Fight CD	(Sega CD)
Flashback	(Sega CD)
Flashback - The Quest for Identity	(Sega CD)
Flink	(Sega CD)
Formula One World Championship - Beyond the Limit	(Sega CD)
Fresh Cleaner	(Sega CD)
Game no Kandume Vol. 1	(Sega CD)
Game no Kandume Vol. 2	(Sega CD)
Garou Densetsu Special	(Sega CD)
Gen'ei Toshi - Illusion City	(Sega CD)
Ground Zero Texas	(Sega CD)
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland-hen	(Sega CD)
Heart of the Alien - Out of This World Parts I and II	(Sega CD)
Heavenly Symphony - Formula One World Championship 1993	(Sega CD)
Heavy Nova	(Sega CD)
Heimdall	(Sega CD)
Hook	(Sega CD)
IIIrd World War, The	(Sega CD)
Iron Helix	(Sega CD)
Ishii Hisaichi no Daiseikai	(Sega CD)
Jaguar XJ220	(Sega CD)
Jangou World Cup	(Sega CD)
Jeopardy!	(Sega CD)
Joe Montana's NFL Football	(Sega CD)
Jurassic Park	(Sega CD)
Kamen Rider ZO	(Sega CD)
Keio Flying Squadron	(Sega CD)
Keiou Yuugekitai	(Sega CD)
Kids on Site	(Sega CD)
Lawnmower Man, The	(Sega CD)
Lethal Enforcers	(Sega CD)
Lethal Enforcers II - Gun Fighters	(Sega CD)
Lethal Enforcers II - The Western	(Sega CD)
Links - The Challenge of Golf	(Sega CD)
Loadstar - The Legend of Tully Bodine	(Sega CD)
Lords of Thunder	(Sega CD)
Lunar - Eternal Blue	(Sega CD)
Lunar - The Silver Star	(Sega CD)
Mad Dog II - The Lost Gold	(Sega CD)
Mad Dog McCree	(Sega CD)
Mahou no Shoujo - Silky Lip	(Sega CD)
Make My Video - INXS	(Sega CD)
Make My Video - Kris Kross	(Sega CD)
