2048	(Master System)
11 Hap Gam-Boy	(Master System)
128 Hap	(Master System)
2 Hap in 1 - Moai-ui Bomul + David II	(Master System)
20 em 1	(Master System)
2048-SMS!	(Master System)
3 in 1 - The Best Game Collection	(Master System)
3D Alien Maze	(Master System)
3D City	(Master System)
3D Gunner	(Master System)
4 PAK All Action	(Master System)
64 Color Palette Test	(Master System)
64 Colours Rasters	(Master System)
8 in 1 - The Best Game Collection	(Master System)
94 Super World Cup Soccer	(Master System)
94-Nen Super Basketball	(Master System)
A-Team Music, The	(Master System)
Ace of Aces	(Master System)
Acerte o Alvo	(Master System)
Acid Reflux	(Master System)
Action Boy	(Master System)
Action Fighter	(Master System)
Addams Family, The	(Master System)
Aerial	(Master System)
Aerial Assault	(Master System)
Africa	(Master System)
After Burner	(Master System)
Agigongnyong Dooly	(Master System)
Air Rescue	(Master System)
Aladdin	(Master System)
Aleste	(Master System)
Alex Kidd - High-Tech World	(Master System)
Alex Kidd - The Lost Stars	(Master System)
Alex Kidd 3 - Curse in Miracle World	(Master System)
Alex Kidd in Miracle World	(Master System)
Alex Kidd in Miracle World 2	(Master System)
Alex Kidd in Shinobi World	(Master System)
Alex Kidd no Miracle World	(Master System)
Alex Kido	(Master System)
Alf	(Master System)
Alibaba and 40 Thieves	(Master System)
Alien 3	(Master System)
Alien Cat 2	(Master System)
Alien Storm	(Master System)
Alien Syndrome	(Master System)
Alocos	(Master System)
Alter Ego	(Master System)
Altered Beast	(Master System)
American Baseball	(Master System)
American Pro Football	(Master System)
Andre Agassi Tennis	(Master System)
Anguna - The Prison Dungeon	(Master System)
Anmitsu Hime	(Master System)
Antiair	(Master System)
AntiISDA Warrior	(Master System)
Ants for Master System	(Master System)
Arcade Smash Hits	(Master System)
Arcade Volleyball	(Master System)
Argos no Juujiken	(Master System)
Ariel - The Little Mermaid	(Master System)
Arno Dash	(Master System)
Arno Dash 2	(Master System)
Artfull	(Master System)
Artillery Master 8k	(Master System)
Ascend	(Master System)
Ashura	(Master System)
Assault City	(Master System)
Asterix	(Master System)
Asterix and the Great Rescue	(Master System)
Asterix and the Secret Mission	(Master System)
Astro Adventure	(Master System)
Astro Climber	(Master System)
Astro Flash	(Master System)
Astro Force	(Master System)
Astro Hunter	(Master System)
Astro Warrior	(Master System)
Astro Warrior & Pit Pot	(Master System)
Astroswab	(Master System)
Attention to Detail	(Master System)
Aventuras da TV Colosso, As	(Master System)
Ayrton Senna's Super Monaco GP II	(Master System)
Aztec Adventure	(Master System)
Aztel Adventure	(Master System)
Back to the Future Part II	(Master System)
Back to the Future Part III	(Master System)
Bad Apple	(Master System)
Bad Apple 3D	(Master System)
Bad Apple for SMS	(Master System)
Baku Baku	(Master System)
Baluba Balok	(Master System)
Bank Panic	(Master System)
Bara Buruu	(Master System)
Basketball Nightmare	(Master System)
Batman Returns	(Master System)
Battle City	(Master System)
Battle Out Run	(Master System)
Battle Wings	(Master System)
Battlemaniacs	(Master System)
Battleships	(Master System)
Battlot	(Master System)
Bay Third Dungeon	(Master System)
Be No Sqr	(Master System)
Binary Gunner	(Master System)
Black Belt	(Master System)
Black Castle	(Master System)
Blade Eagle	(Master System)
Blade Eagle 3-D	(Master System)
Blast Arena	(Master System)
Blockhead	(Master System)
Bloki	(Master System)
Bloktris	(Master System)
BMX Trial - Alex Kidd	(Master System)
Bobble Bobble	(Master System)
Bock's Birthday 2002	(Master System)
Bock's Birthday 2003	(Master System)
Bock's Birthday 2004	(Master System)
Bock's Birthday 2006	(Master System)
Bock's Birthday 2007	(Master System)
Bock's Birthday 2011	(Master System)
Bock's Birthday 2011 II	(Master System)
Bolas e Cores	(Master System)
Bolhas	(Master System)
Bomb Jack	(Master System)
Bombeiros	(Master System)
Bomber Raid	(Master System)
Bonanza Bros.	(Master System)
Bonkers Wax Up!	(Master System)
BOoM	(Master System)
Bootskell	(Master System)
Bram Stoker's Dracula	(Master System)
Bread and Butter	(Master System)
Bread and Butter World	(Master System)
Bruce Lee	(Master System)
Bubble Bobble	(Master System)
Buggy Run	(Master System)
Burgers of Hanoi	(Master System)
C_So!	(Master System)
Cacorm	(Master System)
California Games	(Master System)
California Games II	(Master System)
Candy Kid	(Master System)
Canyon Racer	(Master System)
Captain Silver	(Master System)
Cardiac Arrest	(Master System)
Casevac	(Master System)
Casino Games	(Master System)
Castelo Ra-Tim-Bum	(Master System)
Castle Escape	(Master System)
Castle of Illusion Starring Mickey Mouse	(Master System)
Castlevania II	(Master System)
Cava-Cava	(Master System)
Cave Wanderer	(Master System)
Cavit	(Master System)
Champions of Europe	(Master System)
Championship Hockey	(Master System)
Chapolim x Dracula - Um Duelo Assustador	(Master System)
Chappie's Ears Simon Game	(Master System)
Cheese Cat-astrophe Starring Speedy Gonzales	(Master System)
Chess Rook Puzzle, The	(Master System)
Chicken Crossing	(Master System)
Choplifter	(Master System)
Chouon Senshi Borgman	(Master System)
Christmas Tale	(Master System)
Chuck Rock	(Master System)
Chuck Rock II - Son of Chuck	(Master System)
Cimmerian	(Master System)
Circuit, The	(Master System)
Cix	(Master System)
Cloud Master	(Master System)
Code 38 - Volume I	(Master System)
Color & Switch Test	(Master System)
Color Check	(Master System)
Color Lines	(Master System)
Colossal Cave Adventure - SAM Edition	(Master System)
Columns	(Master System)
Comical Machine Gun Joe	(Master System)
Con-Dori	(Master System)
Contra PSG	(Master System)
Cool Spot	(Master System)
Copyright Violation	(Master System)
Cosmic Spacehead	(Master System)
Cracky	(Master System)
Crazy Pinball	(Master System)
Creature Capture	(Master System)
Cross Bomber	(Master System)
Cross Chase	(Master System)
Cross Horde	(Master System)
Cross Shoot	(Master System)
Cross Shuriken	(Master System)
Cross Snake	(Master System)
Cross Stinger	(Master System)
Cross TREX	(Master System)
Cross Verbix	(Master System)
CWP	(Master System)
Cyber Shinobi, The	(Master System)
Cyborg Hunter	(Master System)
Cyborg Z	(Master System)
Cye	(Master System)
D.A.R.C.	(Master System)
Daffy Duck in Hollywood	(Master System)
Dallyeora Pigu-Wang	(Master System)
Damiana	(Master System)
Danan - The Jungle Fighter	(Master System)
Data Storm	(Master System)
Dating Sim	(Master System)
DBIOS	(Master System)
Dead Angle	(Master System)
Dead Gunner	(Master System)
Deathtrap Dungeon	(Master System)
Deeaporama	(Master System)
Deep Duck Trouble Starring Donald Duck	(Master System)
Derpy's Mail	(Master System)
Desert Speedtrap Starring Road Runner and Wile E. Coyote	(Master System)
Desert Strike	(Master System)
DevSound	(Master System)
Dick Tracy	(Master System)
Digger Ball	(Master System)
Digger Chan	(Master System)
DINOBASHER - Starring Bignose the Caveman	(Master System)
Dinobasher Starring Bignose the Caveman	(Master System)
Dinosaur Dooley, The	(Master System)
Do the Same	(Master System)
Doki Doki Penguin Land - Uchuu Daibouken	(Master System)
Domino	(Master System)
Donkey	(Master System)
Double Dragon	(Master System)
Double Hawk	(Master System)
Double Target - Cynthia no Nemuri	(Master System)
Doze Trabalhos de Jongo, Os	(Master System)
Dr. HELLO	(Master System)
Dr. Robotnik's Mean Bean Machine	(Master System)
Dragon - The Bruce Lee Story	(Master System)
Dragon Blaster	(Master System)
Dragon Crystal	(Master System)
Draw Poker	(Master System)
Driar	(Master System)
Duckslayer Adventures	(Master System)
Duke Nukem	(Master System)
Dynamite Duke	(Master System)
