Battletoads (NES)	[snowboy_man]
Super Mario Bros. 3 (NES)	[Nuke73]
Metal Gear Solid 3: Snake Eater (PS2) или (PC)	[ping_timeout]
Hitman: Codename 47 (PC)	[valdemarka]
Prehistorik 2 (PC)	[Tiankami]
Syberia (PC)	[MsJudi]
Captain Quazar (3DO)	[ShlyapnikML]
Agent Hugo (PC)	[WOOM0N]
Elevator Action (NES)	[Kentaro]
Sonic Adventure 2 (DC)	[Rekvizit8bit]
Мор. Утопия	[Bradhi]
Spyro 2: Ripto's Rage (PS1)	[Zhem]
Comix Zone (SMD)	[Varan]
God of War (PS2)	[Leona_kiki]
Alien Soldier (SMD)	[Brick_Man]
Недетские сказки (PC)	[pepelnayaa]
Metal Gear Solid (PS1)	[ping_timeout]
Metal Gear Solid 2: Sons of Liberty (PS2)	[ping_timeout]
Metal Gear Solid V: The Phantom Pain (PC)	[ping_timeout]
Disney's Aladdin (SMD)	[valdemarka]
Max Payne (PC)	[valdemarka]
Готика 2: Ночь Ворона (PC)	[valdemarka]
Diablo 2: Lord of Destruction (PC)	[valdemarka]
Hitman: Contracts (PC)	[valdemarka]
Little Mermaid (NES)	[Lady_Blaze]
Streets of Rage (SMD)	[Lady_Blaze]
Lion King (SMD)	[Lady_Blaze]
Contra Hard Corpse (SMD)	[Lady_Blaze]
Dune 2 (SMD)	[Lady_Blaze]
Red Dead Redemption (PC)	[IgorGHK]
Red Dead Redemption 2 (PC)	[IgorGHK]
The Last of Us (PC)	[IgorGHK]
The Last of Us 2 (PC)	[IgorGHK]
Black Mesa (PC)	[IgorGHK]
Metal Gear Solid 3: Snake Eater (PS2) или (PC)	[Rubendahouse]
Crash Bandicoot 3 Warped (PS1)	[Rubendahouse]
Witcher 3 Wild Hunt (PC)	[Rubendahouse]
Prince of Persia: Warrior Within (PC)	[Rubendahouse]
Batman: Arkham Knight (PC)	[Rubendahouse]
Bloodborne (PS4) (если есть возможность стримить)	[Rubendahouse]
Witcher 3 Wild Hunt (PC)	[Kosmeya]
Portal 2 (PC)	[Kosmeya]
Undertale (PC)	[Kosmeya]
To the moon (PC)	[Kosmeya]
Furi (PC)	[Kosmeya]
Portal (PC)	[Kosmeya]
Hotline Miami (PC)	[Kosmeya]
Starcraft 2: Wings of Liberty (PC)	[Kosmeya]
Slay the Spire (PC)	[Kosmeya]
Hollow Knight (PC)	[nyamura]
Dark Souls 3 (PC)	[nyamura]
Omori (PC)	[nyamura]
Stardew Valley (PC)	[nyamura]
A hat in time (PC)	[nyamura]
Baldur's Gate 3 (PC)	[Vika_Karter]
Portal (PC)	[Vika_Karter]
Subnautica (PC)	[Vika_Karter]
Detroit: Become Human (PC)	[Vika_Karter]
Little Nightmare (PC)	[Vika_Karter]
Little Misfortune (PC)	[Vika_Karter]
Lost in Play (PC)	[Vika_Karter]
Battletoads and Double Dragon [NES]	[NeGAtiv4k]
Celeste [Steam]	[NeGAtiv4k]
Limbo [Steam]	[NeGAtiv4k]
Tetris Effect: Connected [Steam]	[NeGAtiv4k]
Dr. Mario 64 [N64]	[NeGAtiv4k]
Gradius Gaiden [PS1]	[NeGAtiv4k]
Metroid [FDS]	[NeGAtiv4k]
Terraria (PC)	[Loopinka]
Stardew Valley (PC)	[Loopinka]
The Binding of Isaac: Repentance (PC)	[Loopinka]
Silent Hill (PS1)	[Loopinka]
Grand Theft Auto: San Andreas (PC)	[Loopinka]
The Elder Scrolls IV: Oblivion (PC)	[Loopinka]
Mafia (PC)	[Loopinka]
Guardian Legend (NES)	[coulthardf1]
Lendstalker (Sega)	[coulthardf1]
Dino Crisis (PS1)	[coulthardf1]
Shadow Of Colosus (PS2)	[coulthardf1]
