(T)Raumschiff Surprise: Periode 1	(PC)
*NSYNC Hotline Phone and Fantasy CD-ROM Game	(PC)
#Funtime	(PC)
~airwave~: I Fought the Law, and the Law One	(PC)
140	(PC)
3Tones	(PC)
4X4	(PC)
8infinity	(PC)
A City Sleeps	(PC)
A Dance of Fire and Ice	(PC)
A Musical Story	(PC)
Aaero	(PC)
Aaero2	(PC)
ABC: Audioreactive Beat Circle	(PC)
ADEN (STEAM)	
Aerial_Knight's Never Yield	(PC)
Aerial_Knight's We Never Yield	(PC)
After School Afterlife	(PC)
Against	(PC)
Agent Klutz	(PC)
Airtone	(PC)
Akashicforce	(PC)
Akihabara: Feel the Rhythm	(PC)
Akihabara: Feel the Rhythm - Remixed	(PC)
Algor Pew Pew	(PC)
Alida	(PC)
American Idol	(GBA)
American Idol	(PS2)
Amnesia Fortnight 2012	(PC)
Amplitude (PS2)	
Anomalies	(PC)
Antro	(PC)
Arclight Beat	(PC)
Ark Mobius: Censored Edition	(PC)
ArtPulse	(PC)
Atone	(PC)
Audica	(PC)
Audio Beats	(PC)
Audio Infection	(PC)
Audio Trip	(PC)
Audioshield	(PC)
Audiosurf	(PC)
Audiosurf 2	(PC)
Audition 2	(PC)
Avicii Invector	(PC)
Avoid the Evil Space Eel	(PC)
AVSEQ	(PC)
Away From Home (STEAM)	
B-Boy	(PS2)
Baby Universe	(PS1)
Backbeat	(PC)
Band Space	(PC)
Bandapes	(PC)
Barbapapa	(PS1)
Barrage Musical: A Fantasy of Tempest	(PC)
Bass Defense: Rhythm Meets Strategy	(PC)
Beat	(PC)
Beat Blast	(PC)
Beat Blaster	(PC)
Beat Da Beat (STEAM)	
Beat Defender	(PC)
Beat Invaders	(PC)
Beat Planet Music	(PS1)
Beat Rush	(PC)
Beat Saber	(PC)
Beat Slayer	(PC)
Beat Souls	(PC)
Beat the Game	(PC)
Beat the Song	(PC)
BeatBlasters III	(PC)
Beatblock (STEAM)	
Beats & Boss (STEAM)	
Beats Fever	(PC)
Beats of Fury	(PC)
Before the Echo	(PC)
Biorhythm	(PC)
Bishi Bashi Special	(PS1)
Bishi Bashi Special 2	(PS1)
Bishi Bashi Special 3: Step Champ	(PS1)
Bit.Trip Beat	(PC)
Bit.Trip Core	(PC)
Bit.Trip Flux	(PC)
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien (STEAM)	
BIT.TRIP RUNNER (STEAM)	
Bit.Trip Void	(PC)
Bits & Bops	(PC)
Black Bird	(PC)
