Плюс очко|Очевидное плюс очко.
Плюс очко всем|Плюс очко получают все стримеры в онлайне, включая тебя.
Минус очко|Очевидное минус очко.
Минус очко всем|Минус очко получают все стримеры в онлайне, включая тебя.
Плюс очко тебе, минус очко всем|Плюс очко тебе, минус очко всем другим стримерам в онлайне.
Минус очко тебе, плюс очко всем|Минус очко тебе, плюс очко всем другим стримерам в онлайне.
Плюс очко всем кроме тебя|Плюс очко всем стримерам в онлайне кроме тебя хех. Если ты единственный в онлайне - реролл Колеса добра.
Минус очко всем кроме тебя|Минус очко всем стримерам в онлайне кроме тебя ура. Если ты единственный в онлайне - реролл Колеса добра.
Скачок|Иди на две клетки вперед.
Отскок|Иди на две клетки назад.
Подсрачник|Минус 2 очка.
Пиздак|Минус 3 очка.
Двойное очко|Очевидные плюс 2 очка.
Тройное очко|Очевидные плюс 3 очка.
Помощь отстающим|Все стримеры в онлайне кто позади тебя - плюс очко. Все стримеры в онлайне кто впереди тебя - минус очко. Ты не получаешь очков в любом случае. Если кто-то стоит с тобой на одной клетке - тоже не получает ничего, еще бы стоять рядом с таким неудачником. Реролл Колеса добра если ты единственный в онлайне.
Орел или решка|Брось монетку где один исход - плюс очко, а другой - минус очко.
Пекагейминг|Плюс очко если уже играл в этом сезоне в пекагеймерские платформы. Плюс 2 очка если пекагеймерская платформа у тебя прямо сейчас. Минус очко в ином случае.
Кара небесная|Ты обязан использовать прямо сейчас все свои Предметы. Предметы используются по порядку сверху вниз. Если какие-то Предметы невозможно использовать в виду каких-либо обстоятельств, а также если есть Предметы, которые позволяют дропнуть или реролльнуть игру - они уничтожаются. Если в инвентаре вообще нет Предметов - реролл Колеса добра.
Сектор Приз|Ты выбираешь и реализовываешь любой из четырех соседних пунктов Колеса добра (два вверх и два вниз от выпавшего) по своему желанию. Нельзя выбрать пункт «Сектор Приз». Если «Сектор Приз» находится не в центре в результате каких-либо других пунктов колеса, то он игнорируется, а ты получаешь плюс очко.
Два по цене одного|Колесо добра роллится еще раз и выполняются третий и четвертый пункты Колеса добра (счет сверху вниз). Третий пункт имеет приоритет очереди выполнения. Пункты, требующие реролла Колеса добра игнорируются.
Ненавистная платформа|Ты роллишь игру из списка «Кот в мешке». Все стримеры в онлайне, включая тебя, кто в данный момент играет в игру на той же платформе на которую выпала нароленная игра -  получают минус очко. Если на данной платформе никто не играет - получаешь плюс очко. Выпавшую игру при этом проходить не нужно :D
Обнуление|Уничтожаются все твои Предметы, Эффекты и Спецроллы. Очков становится ноль. Сбрасывается стоимость Колеса добра до начальной.
Обнуление+|Уничтожаются все твои Предметы, Эффекты и Спецроллы. Очков становится ноль. Сбрасывается стоимость Колеса добра до начальной. Идешь назад на клетку, которая заканчивается на 0 (если ты при этом в зоне Обхода, также идешь назад до входа в эту Зону и затем до клетки, оканчивающейся на 0). Если ты находишься на клетках 1-9, то идешь назад на клетку 1.
Я запрещаю рероллить|Все Рероллы в твоем инвентаре уничтожаются. Крути Колесо добра за каждый из них. Если рероллы в инвентаре отсутствуют или они все неуничтожаемые, то получаешь минус очко.
Демократия|Чат решает голосованием – ты получаешь плюс очко или минус очко. Голосование длится 3 минуты.
Невероятная демократия|Чат решает голосованием – плюс очко или минус очко получат все стримеры, находящиеся в онлайне, включая тебя. Голосование длится 3 минуты.
Туалет в общаге|Как известно туалет в общаге не смывают. Минус очко за каждого стримера, который находится впереди тебя. Если ни одного стримера впереди нет - плюс 2 очка.
Цепная молния|Брось кубик d6 и получи столько плюс очков сколько на нем выпало.
Шаровая молния|Брось кубик d6 и получи столько минус очков сколько на нем выпало.
Десять косарей ненависти|Если в течение десяти минут, с момента выпадения/получения данного пункта, прилетает ровно 10000 ₽ одним донатом (копейки не учитываются), то ты получаешь минус 10 очков и идешь на десять клеток назад. Если донат данного размера так и не прилетает, то получаешь плюс очко. Данная сумма не идет в счет Колеса добра.
Рандомайзер|Брось монетку на плюс или минус. Затем кидай d6-кубик и в зависимости от результата броска монетки добавляешь себе плюс или минус очки выпавшие на кубике.
Невероятный рандомайзер|Брось монетку на плюс или минус. Затем кидай d6-кубик и в зависимости от результата броска монетки добавляешь себе плюс или минус очки выпавшие на кубике. Далее иди на столько клеток сколько выпало на кубике, если монетка была на плюс - идешь вперед, если минус - назад.
Чики-брики чик-чирик|Минус 3 очка.
Кормежка|Ты заказываешь еду на свой выбор для любого другого стримера. Выбранный стример обязательно должен быть онлайн и должен будет показать порцию полученной еды на стриме. Если ты не хочешь никого кормить и/или не имеешь физической возможности - реролл Колеса добра. За выполненную кормежку (выполненной считается кормежка когда заказалась еда) ты получаешь плюс 5 очков.
Коллективная проверка на удачу|Все стримеры в онлайне, включая тебя, подбрасывают монетку на плюс/минус очко, а затем подбрасывают монетку на шаг вперед\шаг назад на карте.
Писькомерство|Наролль другого стримера из тех кто онлайн и созвонись с ним в Дискорде. Затем оба кидаете d6-кубик. Тот у кого число больше получает плюс столько очков сколько выпало на его кубике, а тот у кого меньше, получает соответствующее количество минус очков. При выпадении одинаковых чисел - кубики бросаются еще раз. При реализации данного пункта вы не учитываете имеющиеся у вас Эффекты и глобальные ивенты, влияющие на бросок кубика. Если ты один в онлайне - реролл Колеса добра.
Землетрясение|Относится только к стримерам, находящимся в онлайне, включая тебя. Стримеры, находящиеся на нечетных клетках и находящиеся на клетках без номера, идут на одну клетку назад. Стримеры, находящиеся на четных клетках, перемещаются на одну клетку вперед. На клетке с кубиками, кубики бросаются как обычно.
Робин Гуд|Ты воруешь один любой Предмет из инвентаря одного стримера и передаешь другому. Стримеры должны быть в онлайне. Себе предмет взять нельзя. Оба действия выполняются тобой на свой выбор. Оба действия делаются сразу. Если в онлайне нет двух стримеров кроме тебя, отсутствует Предмет для воровства, нет возможности украсть ни один Предмет, а также если нет возможности его передать - реролл Колеса добра.
Вознесся|Ты телепортируешься на одну клетку выше той на которой находишься, если она находится на расстоянии одного ряда. Плюс очко в ином случае.
Спонсор|Отдай все свои положительные очки другому рандомно выбранному стримеру из тех кто в онлайне. Если в онлайне ты единственный, очков ноль или очки находятся в минусе - плюс 3 очка.
